ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,bmsy,msy1,fmsy1,q1,q2,q3,SSB1,f
11447.4,0.525634,0.447174,5736.6,3771.56,0.088968,1.42349, 48401.3, 19491.8, 3617.91, 0.258774,0.0943332,0.109412,0.0131732,16080.1,130.632
12630.4,0.450067,0.453424,5594.78,4374.26,0.088968,1.42349, 51952.3, 22206.4, 3374.99, 0.20772,0.0948806,0.132202,0.0131147,13488.6,128.269
11274,0.514197,0.455326,5684.5,4592.76,0.088968,1.42349, 45988.7, 18689.8, 3425.16, 0.25612,0.0927847,0.126596,0.0133416,14232.8,126.726
10481.2,0.587827,0.453961,5746.88,3966.03,0.088968,1.42349, 43010.9, 16553.1, 3591.11, 0.310305,0.0952112,0.124277,0.0132282,15858.2,128.143
9345.47,0.67206,0.454777,6007.11,3507.35,0.088968,1.42349, 38213.4, 13844, 3549.13, 0.377716,0.0894527,0.104918,0.0134664,18917.1,124.525
9333.86,0.64493,0.448947,5632.63,3586.72,0.088968,1.42349, 39156.7, 14464, 3483.71, 0.349701,0.0918887,0.119148,0.0134092,15352.8,129.961
8858.25,0.676689,0.460336,5810.11,3899.15,0.088968,1.42349, 35355.1, 12764.7, 3337.63, 0.387855,0.0901571,0.129803,0.0131313,14817.2,133.23
9117.92,0.676216,0.454091,5804.56,3794.38,0.088968,1.42349, 37395, 13507.2, 3484.26, 0.380381,0.0888456,0.115283,0.0132971,15395.9,130.595
10703.5,0.618357,0.472674,6086.3,3735.19,0.088968,1.42349, 40518.3, 15257.9, 3658.59, 0.352109,0.0878609,0.121025,0.0134398,13403.8,132.168
11575.1,0.626329,0.469326,6082.19,3256.54,0.088968,1.42349, 44446.8, 16640.4, 4027.21, 0.355371,0.089502,0.116778,0.013965,13826.2,128.651
10171.7,0.655584,0.454276,6151.78,3643.83,0.088968,1.42349, 41683.1, 15280.5, 3795.93, 0.363719,0.0843378,0.0984286,0.0137738,17007.7,138.05
10022.7,0.717775,0.456675,6480.3,3833.65,0.088968,1.42349, 40644.5, 14245.1, 3975.99, 0.418916,0.0841327,0.0824245,0.0137181,22429.9,134.389
8837.61,0.748964,0.452877,6131.8,3695.1,0.088968,1.42349, 36438.9, 12484.1, 3645.33, 0.441853,0.0894822,0.0924726,0.0141585,19147.9,129.259
7344.42,0.798209,0.451006,5813.27,3524.74,0.088968,1.42349, 30532.3, 10080.1, 3179.16, 0.485869,0.0948632,0.0997726,0.0144346,17807.9,131.302
7887.28,0.734293,0.437973,5517.16,3060.75,0.088968,1.42349, 34748.1, 12042.4, 3325.17, 0.409447,0.0985759,0.110659,0.0147821,15984.2,135.123
7558.4,0.756278,0.444895,5558.97,3021.86,0.088968,1.42349, 32283.3, 11006, 3199.04, 0.437526,0.100379,0.111843,0.014328,16298.4,135.05
8295.45,0.733634,0.45039,5715.18,3039.57,0.088968,1.42349, 34579.5, 11983.2, 3392.22, 0.424798,0.10088,0.109949,0.0142259,15915.4,139.206
8246.86,0.70169,0.444914,5783.42,3523,0.088968,1.42349, 35220.8, 12493.6, 3309.58, 0.39084,0.102412,0.101594,0.0138131,19542.9,136.054
9533.99,0.652502,0.460537,6037,3568.57,0.088968,1.42349, 38019, 13967.7, 3493.66, 0.367869,0.100595,0.111283,0.0138069,19564,142.082
10220.8,0.643921,0.454167,5973.17,2940.43,0.088968,1.42349, 41904.5, 15490.4, 3763.33, 0.354233,0.102929,0.105744,0.0142843,19551,137.536
9029.83,0.744447,0.456415,6010.28,3640.73,0.088968,1.42349, 36659.5, 12599, 3678.16, 0.442567,0.103164,0.0957547,0.0150235,22774.1,147.005
9588.94,0.733515,0.472694,6314.21,3629.29,0.088968,1.42349, 36296, 12562.6, 3723.24, 0.454756,0.0967364,0.104271,0.0142463,20078.5,143.928
9568.13,0.690125,0.446125,5493.54,3062.64,0.088968,1.42349, 40644.3, 14537.1, 3782.57, 0.382771,0.106216,0.114796,0.0151887,16604.3,141.375
10379.8,0.663872,0.441037,5473.79,3118.59,0.088968,1.42349, 45104.2, 16437.6, 4036.22, 0.356315,0.108016,0.12382,0.0149529,15430.7,138.257
9721.2,0.669829,0.434254,5393.26,2989.05,0.088968,1.42349, 43553.1, 15805.5, 3869.02, 0.35378,0.1017,0.125417,0.0148878,13659,139.654
9656.97,0.641053,0.444038,5461.61,3475.77,0.088968,1.42349, 41404.2, 15335.9, 3630.05, 0.34176,0.101093,0.131027,0.0145277,13667.7,144.664
