sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014
5.14875,3.52948,2.39932,2.35308,1.25963,0.958282,2.81035,1.86169,1.57131,2.87281,6.65042,11.8824,14.1942,15.1099,15.149,13.6043,5.46442,3.30462,2.54492,3.01609,7.24251,14.1955,20.472,25.9359,32.2738,37.9321,40.7056,39.6858,37.5393,36.4531,38.1802,43.3975,46.8084,46.7066,49.4306,55.3317,61.5539,67.2661,70.866,71.7299,72.2345,68.74,64.614,56.3048,52.2149,45.6163,40.3824,35.2683,32.686,35.2003,38.3118,39.8043
5.14875,3.52948,2.39932,2.35308,1.25963,0.958282,2.81035,1.86169,1.57131,2.87281,6.65042,11.8824,14.1942,15.1099,15.149,13.6043,5.46442,3.30462,2.54492,3.01609,7.24251,14.1955,20.472,25.9359,32.2738,37.9321,40.7056,39.6858,37.5393,36.4531,38.1802,43.3975,46.8084,46.7066,49.4306,55.3317,61.5539,67.2661,70.866,71.7299,72.2345,68.74,64.614,56.3048,52.2149,45.6163,40.3824,35.2683,32.686,35.2003,38.3118,39.8043
5.14875,3.52948,2.39932,2.35308,1.25963,0.958282,2.81035,1.86169,1.57131,2.87281,6.65042,11.8824,14.1942,15.1099,15.149,13.6043,5.46442,3.30462,2.54492,3.01609,7.24251,14.1955,20.472,25.9359,32.2738,37.9321,40.7056,39.6858,37.5393,36.4531,38.1802,43.3975,46.8084,46.7066,49.4306,55.3317,61.5539,67.2661,70.866,71.7299,72.2345,68.74,64.614,56.3048,52.2149,45.6163,40.3824,35.2683,32.686,35.2003,38.3118,39.8043
5.14875,3.52948,2.39932,2.35308,1.25963,0.958282,2.81035,1.86169,1.57131,2.87281,6.65042,11.8824,14.1942,15.1099,15.149,13.6043,5.46442,3.30462,2.54492,3.01609,7.24251,14.1955,20.472,25.9359,32.2738,37.9321,40.7056,39.6858,37.5393,36.4531,38.1802,43.3975,46.8084,46.7066,49.4306,55.3317,61.5539,67.2661,70.866,71.7299,72.2345,68.74,64.614,56.3048,52.2149,45.6163,40.3824,35.2683,32.686,35.2003,38.3118,39.8043
5.14875,3.52948,2.39932,2.35308,1.25963,0.958282,2.81035,1.86169,1.57131,2.87281,6.65042,11.8824,14.1942,15.1099,15.149,13.6043,5.46442,3.30462,2.54492,3.01609,7.24251,14.1955,20.472,25.9359,32.2738,37.9321,40.7056,39.6858,37.5393,36.4531,38.1802,43.3975,46.8084,46.7066,49.4306,55.3317,61.5539,67.2661,70.866,71.7299,72.2345,68.74,64.614,56.3048,52.2149,45.6163,40.3824,35.2683,32.686,35.2003,38.3118,39.8043
5.14875,3.52948,2.39932,2.35308,1.25963,0.958282,2.81035,1.86169,1.57131,2.87281,6.65042,11.8824,14.1942,15.1099,15.149,13.6043,5.46442,3.30462,2.54492,3.01609,7.24251,14.1955,20.472,25.9359,32.2738,37.9321,40.7056,39.6858,37.5393,36.4531,38.1802,43.3975,46.8084,46.7066,49.4306,55.3317,61.5539,67.2661,70.866,71.7299,72.2345,68.74,64.614,56.3048,52.2149,45.6163,40.3824,35.2683,32.686,35.2003,38.3118,39.8043
5.14875,3.52948,2.39932,2.35308,1.25963,0.958282,2.81035,1.86169,1.57131,2.87281,6.65042,11.8824,14.1942,15.1099,15.149,13.6043,5.46442,3.30462,2.54492,3.01609,7.24251,14.1955,20.472,25.9359,32.2738,37.9321,40.7056,39.6858,37.5393,36.4531,38.1802,43.3975,46.8084,46.7066,49.4306,55.3317,61.5539,67.2661,70.866,71.7299,72.2345,68.74,64.614,56.3048,52.2149,45.6163,40.3824,35.2683,32.686,35.2003,38.3118,39.8043
5.14875,3.52948,2.39932,2.35308,1.25963,0.958282,2.81035,1.86169,1.57131,2.87281,6.65042,11.8824,14.1942,15.1099,15.149,13.6043,5.46442,3.30462,2.54492,3.01609,7.24251,14.1955,20.472,25.9359,32.2738,37.9321,40.7056,39.6858,37.5393,36.4531,38.1802,43.3975,46.8084,46.7066,49.4306,55.3317,61.5539,67.2661,70.866,71.7299,72.2345,68.74,64.614,56.3048,52.2149,45.6163,40.3824,35.2683,32.686,35.2003,38.3118,39.8043
5.14875,3.52948,2.39932,2.35308,1.25963,0.958282,2.81035,1.86169,1.57131,2.87281,6.65042,11.8824,14.1942,15.1099,15.149,13.6043,5.46442,3.30462,2.54492,3.01609,7.24251,14.1955,20.472,25.9359,32.2738,37.9321,40.7056,39.6858,37.5393,36.4531,38.1802,43.3975,46.8084,46.7066,49.4306,55.3317,61.5539,67.2661,70.866,71.7299,72.2345,68.74,64.614,56.3048,52.2149,45.6163,40.3824,35.2683,32.686,35.2003,38.3118,39.8043
5.14875,3.52948,2.39932,2.35308,1.25963,0.958282,2.81035,1.86169,1.57131,2.87281,6.65042,11.8824,14.1942,15.1099,15.149,13.6043,5.46442,3.30462,2.54492,3.01609,7.24251,14.1955,20.472,25.9359,32.2738,37.9321,40.7056,39.6858,37.5393,36.4531,38.1802,43.3975,46.8084,46.7066,49.4306,55.3317,61.5539,67.2661,70.866,71.7299,72.2345,68.74,64.614,56.3048,52.2149,45.6163,40.3824,35.2683,32.686,35.2003,38.3118,39.8043
