rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013
1311.49,2575.87,5269.12,1256.68,4610.59,22412.9,5145.01,7935.18,123.242,3657.55,482.384,1706.41,885.803,4244.83,2549.81,12694.6,3580.45,3236.98,2625.4,2229.59,6332.81,3400.45,402.446,5170.38,4969.71,3847.38,621.981,2177.82,10601.1,9307.96,318.393,4260.32,15136.4,419.62,4357.53,198.975,567.428,800.051,921.401,75.3877,1048.52,852.058,110.917,24.5944,697.276,615.476,1006.65,727.466,488.667,1352.62,562.127,1083.56,524.729,513.396,955.961,1173.53
174.818,8984.39,3058.18,1236.71,5862.03,22181.6,4992.99,9390.64,157.449,7067.3,150.528,2980.67,293.767,6985.97,2377.98,14586.6,2521.87,4387.69,6048.73,942.384,5598.29,3056.86,3508.57,5203.78,6700.27,6205.01,451.511,4145.58,8078.05,11428.8,1204.96,5490.22,16676.3,767.325,5651.62,283.577,1128.54,844.523,484.257,56.9417,1529.5,938.307,111.399,41.1877,685.248,807.609,1118.5,847.21,431.869,1666.83,492.871,1376.86,394.011,361.415,1403.38,382.035
1968.4,7374.58,3195.18,739.52,5907.43,15580.8,8978.51,14581.2,2756.03,4362.62,447.731,2904.1,661.52,5057.2,4866.94,9150.34,6418.95,3051.86,7682.93,2138.02,5550.25,4476.84,698.85,6298.36,5665.11,9509.82,656.31,2294.04,7703.27,12328.8,2758.21,5057.81,17477.4,1924.09,3132.45,340.264,963.112,1498.03,575.282,35.6468,1086.56,948.322,211.454,56.5727,753.951,690.228,1188.86,676.664,726.128,2228.38,660.454,824.486,774.123,266.932,1005.62,664.006
668.879,5283.15,3929.87,459.6,7346.96,15223.5,4482.95,8981.43,324.6,6100.97,482.646,1129.34,618.722,5502.44,2512.44,13001.1,3464.88,2268.98,5078.08,1017.75,7196.76,1993.15,3127.62,3664.68,4158.84,6387.67,1286.38,2152.29,8614.27,9776.17,355.147,4122.73,14511.2,1032.9,3571.69,271.34,1112,755.83,762.865,110.627,972.569,873.697,155.673,51.8651,516.922,1050.37,782.351,568.185,578.745,1591.5,303.911,770.179,557.921,451.411,863.957,152.692
1140.42,3824.21,2591.38,495.746,3691.82,13749.7,6599.37,8557.02,998.991,4636.26,680.167,1683.66,290.299,3726.7,4658.97,6027.12,4093.44,3894.32,2341.91,1506.21,6976.25,1766.92,2194.19,4747.69,3310.84,4041.79,1687.12,1051.13,9361.82,8120.28,329.371,5263.37,12098.5,1118.76,3178.32,432.553,247.298,617.692,836.544,114.731,1304.65,701.492,133.133,75.8585,717.936,513.207,1092.02,536.977,443.014,1508.27,276.512,696.392,516.169,173.395,686.465,1107.67
1435.89,2519.19,2657.8,371.664,5299.5,13460.1,9396.82,9731.93,235.482,4708.91,513.157,1608.37,760.212,3582.76,4741.92,7416.36,3145.96,3845.48,2522.08,1833.69,8075.17,2948.68,1158.48,4224.19,3658.98,3984.55,1721.82,638.418,11939.9,7778.64,1117.63,3612.74,15624.1,1104.51,3268.19,67.6565,342.445,1240.02,491.359,76.6324,1048.43,820.632,142.007,52.1563,648.163,572.069,900.775,680.452,501.634,1261.39,442.511,653.65,639.112,290.022,659.499,1159.56
651.911,3552.36,2533.43,1167.61,5118.41,10763.4,8153.84,8145.01,910.808,4497.6,521.754,2270.88,352.296,3534.32,2456.37,9943.47,3591.68,1500.24,4053.44,1444.28,6365.44,2974.42,831.261,4813.28,3351.29,2823.8,2438.22,1314.91,10207.9,7622.62,866.704,3720.54,12236.3,452.536,3893.77,23.6377,626.08,950.395,750.58,89.2459,1432.92,525.646,130.444,55.657,623.014,681.795,689.591,973.854,452.426,1332.42,333.675,760.221,273.207,236.834,483.559,876.543
447.475,4359.77,3451.95,560.69,4630.84,12046.6,10030.1,8859.66,475.381,5403.89,148.671,2827.18,443.058,5616.48,2635.71,8026.87,3976.73,2640.24,4924.96,1307.24,7541.54,2523.12,1256.15,4235.67,3480.73,3275.68,1103.99,2239.76,8694.94,11552.6,2023.52,4460.87,15598.7,366.551,2185.11,213.992,1455.97,723.374,630.796,37.9617,1090.22,677.114,177.535,53.1236,571.994,844.043,788.781,703.425,482.765,1367.46,414.794,810.083,522.511,247.554,655.453,1069.62
352.267,3966.05,3266.32,1555.38,5645.34,14044.8,8197.49,5920.3,1869.97,5858.59,382.624,1931.75,791.322,5750.32,2213.15,8050.06,2724.29,4505.59,4051.93,2390.01,6164.76,3115.63,1533.04,4015.1,4938.87,2875.84,954.703,1969.93,10489.5,8611.05,590.066,6175.08,13798.3,306.069,3098.81,99.842,296.51,1644.52,614.588,74.9005,901.865,907.209,121.804,41.5626,620.819,716.358,955.013,587.417,417.301,1414.66,477.741,923.953,580.101,237.087,1210.15,980.87
1033.36,4142.46,2536.48,268.169,4162.56,11040,8595.53,7707.69,608.64,6260.8,857.261,1255.15,1201.66,4215.41,3030.87,7567.86,2591.96,5350.84,4231.66,1753.57,6425.76,3218.79,1175.9,4962.8,4928.69,2773.04,750.684,1687.23,9830.4,9573.66,1028.14,5195.21,11521,117.426,3744.99,573.042,198.187,1119.95,790.551,121.637,1169,784.836,139.49,38.5239,583.251,727.341,958.605,561.533,452.262,1323.03,313.131,1064,509.07,267.302,983.731,821.604
608.733,5117.7,1653.59,551.844,2137.91,18486.9,2393.82,7312.82,2008.52,3860.13,510.681,1555.91,1473.01,2307.93,3184.51,8530.54,4425.16,3298.61,4031.14,1736.48,6056.08,2210.22,2698.46,4874.48,4436.26,3136.31,671.69,329.248,8072.67,10117.5,675.533,4203.92,9423.79,828.738,3842.8,519.184,187.453,666.876,899.007,135.248,1210.81,911.625,87.7233,36.8127,701.052,639.099,893.302,410.286,450.965,1170.32,340.488,843.848,424.567,202.519,1059.99,1325.19
