ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,bmsy,msy1,fmsy1,q1,q2,q3,SSB1,f
14033.3,0.914491,0.407934,1485.78,92.93,0.088968,0.329123, 106548, 34448.2, 12176.3, 0.684903,0.422243,0.536161,0.0337366,6349.79,6657.44
4434.16,0.851541,0.378075,1512.15,137.367,0.088968,0.40596, 37794, 12560.3, 3887.9, 0.539205,0.447653,0.518432,0.0348277,7298.73,6651.04
7413.32,0.687877,0.450281,1640.91,558.166,0.088968,0.427461, 48408, 17891.1, 5018.52, 0.503115,0.402536,0.582498,0.030203,3829.99,6655.84
8914.45,0.84111,0.455626,1664.4,272.428,0.088968,0.390713, 57170.1, 19441.1, 6823.24, 0.713553,0.406193,0.674718,0.0303233,2650.98,6659.02
9124.17,0.784665,0.433403,1540.84,499.87,0.088968,0.403138, 63160.5, 22051.1, 6916.99, 0.583439,0.407614,0.757603,0.0328636,2357.7,6665.67
13422,0.758975,0.48703,1769.79,493.435,0.088968,0.294289, 77743.6, 27796.4, 9225, 0.674632,0.386115,0.496057,0.0282625,5881.69,6672.03
16063.8,0.786306,0.485458,1785.77,564.954,0.088968,0.370677, 93506, 32929.8, 11315, 0.712165,0.384086,0.46908,0.0290827,6436.76,6657.09
6168.54,0.789821,0.468832,1634.69,305.765,0.088968,0.372375, 37870, 13273.1, 4456.84, 0.67394,0.37476,0.521881,0.0287896,5895.28,6669.18
8694.13,0.72532,0.42553,1467.67,106.685,0.088968,0.382217, 61891.9, 22295.3, 6336.96, 0.499852,0.417479,0.749032,0.0324725,1839.69,6657.24
16315.8,0.7353,0.458124,1704.92,314.442,0.088968,0.353621, 103766, 37398.7, 11428.1, 0.575607,0.396446,0.503527,0.0297851,6268.01,6672.17
12905.1,0.702787,0.446088,1755.03,397.616,0.088968,0.368561, 85482.3, 31304.8, 8921.78, 0.512613,0.412334,0.607344,0.0322028,3923.08,6668.69
12590.3,0.720243,0.418285,1652.21,305.885,0.088968,0.364712, 92008.2, 33192.3, 9239.25, 0.48144,0.434522,0.461334,0.0321622,8006.48,6672.29
16678.4,0.662472,0.414926,1678.92,264.41,0.088968,0.452097, 123392, 45980.4, 11602.1, 0.418161,0.423581,0.554543,0.0325511,5124.23,6657.81
10373.5,0.77555,0.441546,1593.51,242.445,0.088968,0.401093, 69795.4, 24528.8, 7708.6, 0.5902,0.402743,0.549885,0.0327708,4201.86,6654.63
11519.7,0.776936,0.379285,1501.12,238.87,0.088968,0.354355, 97712, 33867.9, 9508.47, 0.468191,0.468314,0.611971,0.0366049,5583.91,6660.74
6641.42,0.91486,0.433212,1533.31,253.933,0.088968,0.356367, 46005.1, 14959.1, 5528.71, 0.758449,0.424236,0.369576,0.0325608,16469.7,6665.18
11417.2,0.809219,0.444068,1495.1,213.433,0.088968,0.314621, 76152.9, 26288.9, 8681.97, 0.639107,0.406681,0.532085,0.0318438,5944.89,6675.07
12081.3,0.679463,0.428668,1570.53,183.906,0.088968,0.382628, 85045.4, 31460.6, 8374.98, 0.456732,0.412951,0.564978,0.0325546,5105.16,6667.05
12435.4,0.733524,0.416054,1510.01,210.251,0.088968,0.378445, 91620.5, 32792.4, 9272.52, 0.491297,0.434643,0.659844,0.0356382,3333.96,6667.86
7676.86,0.764555,0.402526,1613.78,86.6484,0.088968,0.386586, 59484.2, 20866.7, 6017.91, 0.498479,0.439526,0.497635,0.0345872,6507.87,6656.79
16283.2,0.733099,0.435602,1593.05,195.655,0.088968,0.308765, 111850, 40194.1, 11768.3, 0.527457,0.407935,0.562996,0.0325008,3787.05,6658.42
13723.5,0.829147,0.445279,1566.22,692.144,0.088968,0.300911, 91155.3, 31136.6, 10574.3, 0.66895,0.413993,0.664221,0.0311526,2839.52,6659.71
17731.1,0.837125,0.403001,1592.97,337.321,0.088968,0.352721, 137143, 46219.5, 14712.6, 0.577619,0.406952,0.504881,0.0339461,7902.91,6663.45
