sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014
15482.7,18437.8,21509.5,18847.8,17875.9,16580.5,17128.4,23933.2,42434.1,44995.6,34840.5,25494.2,20603.7,16002.2,12657.8,11562.6,22752.2,26738,29709.7,27815.8,25958,23994.9,21268.6,24457.8,21424.2,18788.9,18030.8,15679.2,16276.4,16775,23521.8,33884.4,27656.6,22154.6,22300.8,23154.9,15157.8,10297.5,7064.3,6864.01,5900.3,5630.88,5142.67,5475.73,5830.4,5731.77,7583.94,9658.6,10030.5,8892.27,7159.25,6613.91,8665.97,9866.39,11797.1,11813.5,11803.3,11502.8,12290.7
20399.5,28908.2,32631.9,30437.5,26473.8,27251.7,32489.1,32489.8,48596.8,50862.4,40595.6,27994.6,20600.4,15282.9,13008.7,15567.4,29731,36887.2,35736.6,28847,26707.4,25154.2,21083.6,22478.4,21469.9,19653,20101.4,19930,21480,20446.3,34994.2,42607.8,33736.2,26780.5,22990.5,22847.2,18556.4,14432.4,10431.4,8607.33,7173.14,5791.88,5032.2,4536.87,4425.95,4595.79,10198,13608.1,13713.1,11943.4,10352.7,9335.2,12955.1,15424.9,17567.7,16974.8,15790.9,17275.7,18808.4
16804.5,21316.9,21940.8,18999.1,15971.3,13334.3,17501.2,29740,36363.2,39150.6,34484.4,22579.4,15942.5,11574.7,8232.92,6704.05,20834.9,28911.1,29773.3,24928.2,20115,17442.5,18285.3,19450.1,15956,14201.5,14152.6,14995.1,13060,11537.9,26026.5,42092.8,36745.2,27928.2,23970,21064.4,15368.5,10899.6,7586.31,7545.58,6987.62,6381.39,4962.89,4493.87,4987.35,4849.76,7370.41,9343.71,9955.06,9274.59,8074.34,8278.66,10779.7,12832.7,14375,13681.1,12428.5,14430.4,16434.7
12288.8,14386.9,18596.3,17085,15714.8,14075.4,17569.6,25526.2,35546.8,36623.3,28195.3,22884.4,19372.9,15494.4,12841.1,13113.7,23154,29303.9,29277.8,24352.9,18300.2,17761,16515.6,15924.9,14798.8,15222.8,13988.2,12271.4,14849.1,16598.1,21029,32733.3,29670.3,24948,22239.4,22123,15637,10562.4,7066.42,6775.11,6334.94,4913.82,3729.79,4087.18,4336.38,4039.34,7805.6,11039.9,11908.3,11682.6,10196.7,9376.5,9532.37,11922.5,14581.6,14449.8,13439.5,16647.4,19227.6
13764.3,17804.6,19878.6,18012.6,15538.4,13718.2,16698.9,22484.8,37035.4,40095.6,34224.8,26228,18528.4,14315.1,13181.9,13676.8,22294.4,30363,30040.6,25728,20245.4,21259.5,19585.3,19210.6,17241.5,15528.9,15326.1,13810.4,14248.4,15061.5,28638.3,39526.5,33378.2,26600.7,22607.3,22264.6,16152.1,11596.1,9213.55,8051.18,7473.57,6729.73,5740.98,5577.69,5746.93,5817.45,10204.9,13567.2,14136.8,14348.2,13395.1,12207.9,18275.5,26272.3,31229.9,30237.2,29715.3,34634,36898.5
17847.3,21943.1,24564,22707.7,19288.8,16601.8,19530,22115.3,45307.6,49971.8,38804.2,25634.1,17265.1,12014.5,9718.28,10299.4,26028.5,31695.7,31278.9,28093.7,24019.9,22679.2,24397.2,23515.1,19427.2,17178.2,16956.3,15569.7,13870.4,11095.2,29297.2,42476.8,36446,30844.3,26462.1,24691.5,17539.5,12006.1,7563.74,7038.95,6691.94,8086.37,8555.81,9270.5,8723.99,7486.08,11180.2,13575.7,13933.2,12747.3,11001.1,9120.63,9597.8,19423.1,25141.9,23171.3,20260.8,20484.8,20682.7
14459.1,16486.1,20256.9,18094.5,18184.5,17694.4,16606.7,23382.3,36724.1,39056.2,32339.8,22432.8,16368.5,12919.5,10478.3,11459.2,18742.6,24369.6,24903.3,22409.2,16366.7,15249.1,15925.9,20495.6,16518.1,16608.7,18803.1,17454.1,14259,14420,24622.9,32678.5,26903.5,25124.9,24590.3,22871.1,15496.6,11161.9,9200.92,8678.99,7551.53,6160.29,4910.06,4702.9,4671.82,4645.26,7210.56,8973.06,8824.05,8074.5,7213.77,6550.66,9604.52,12048.7,12006.1,11231.9,11930.8,12546,13028.1
17636.7,17504.2,20633.8,18276.5,16443.9,15543.1,19283,25653.4,42159.4,49435.9,42296,33004.8,26120.3,19948.1,15566.4,17622.2,24322.3,33826.6,35346.2,28803,21918.7,22063.5,19935.9,26558.8,24883.6,24299,23187.1,21065.8,17833.2,14658.6,28176.3,38644,31411,22664.5,22111.5,23091.4,16566.7,11578.2,8487.26,8069.76,8029.4,7230,6587.86,6379.12,5705.27,5036.47,8055.5,11348.7,11839.6,11589,10565.4,9532.39,10798.8,15655.7,17372.9,15551.8,13263.8,16008.4,18447.9
26581.2,25770.2,29058.6,26436.6,23142.6,27886.4,30448.8,33408.6,55151.7,60000.1,51110.6,37355.8,26610.4,23187.1,21908.7,22324.6,35400.7,38340.9,41419.9,36472.4,29843.5,29066.4,26923,34577.9,32848.6,29143.1,28052,25585.2,23199.6,25081.3,44246.9,58193.6,48174.1,37366.7,35638.9,30752.7,21244.6,15582.7,11227.6,10821.8,10219.7,8997.56,8289.88,7968.91,6855.02,5434.83,12727.2,17756.2,17741.9,16367.6,14763,12548.7,12317.6,19147,24111.5,22489.1,25836.5,28993.4,28668.1
15798.6,19962.9,20325.5,16373.5,13856.3,13683.2,15269.2,26051.5,38934.8,38883.3,30120.9,20628.5,14060.1,9670.03,9499.82,9994.32,23351.4,29079.6,31676,28974,24364.9,20962.8,19069,17205,12368.1,14089.3,15269.5,13520.1,13337.7,14091.6,24844.9,36778.2,30761.3,24030.5,22576.1,19832.4,13613.6,9667.56,7336.55,7166.95,6327.07,5700.55,4764.07,4406.35,4078.49,3491.8,7073.48,9855.8,11946.3,12554.5,12301.7,12952.4,17880.6,21154.1,22584,22160,19569.8,21117.8,22492.6
