sbt1_1927,sbt1_1928,sbt1_1929,sbt1_1930,sbt1_1931,sbt1_1932,sbt1_1933,sbt1_1934,sbt1_1935,sbt1_1936,sbt1_1937,sbt1_1938,sbt1_1939,sbt1_1940,sbt1_1941,sbt1_1942,sbt1_1943,sbt1_1944,sbt1_1945,sbt1_1946,sbt1_1947,sbt1_1948,sbt1_1949,sbt1_1950,sbt1_1951,sbt1_1952,sbt1_1953,sbt1_1954,sbt1_1955,sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003
39249.7,36909.7,34614.4,32143.7,29691.9,27262.6,24795.8,22250.9,19360.1,16458.9,14498.7,13335.9,12333.5,11736.2,11437.9,11186.8,10860.2,9469.66,7720.86,6585.68,5856.86,5402.53,5150.55,5037.68,5066.76,5023.42,4967.31,4850.82,4682.97,4462.16,4100.14,3771.05,3458.9,3168.46,2962.84,2791.09,2684.08,2621.85,2540.83,2458.35,2374.2,2305.06,2239.08,2093.07,1966.95,1932.74,1955.06,1984.13,1976.12,1964.72,1919.82,1794.02,1598.96,1457.3,1355.83,1226.12,1119.47,1027.49,976.33,961.88,949.417,951.679,965.38,1033.72,1162.38,1317.96,1487.87,1658.69,1825.48,1999.15,2192,2411.51,2676.98,2975.25,3280.04,3622.37,3629.86
39249.7,36909.7,34614.4,32143.7,29691.9,27262.6,24795.8,22250.9,19360.1,16458.9,14498.7,13335.9,12333.5,11736.2,11437.9,11186.8,10860.2,9469.66,7720.86,6585.68,5856.86,5402.53,5150.55,5037.68,5066.76,5023.42,4967.31,4850.82,4682.97,4462.16,4100.14,3771.05,3458.9,3168.46,2962.84,2791.09,2684.08,2621.85,2540.83,2458.35,2374.2,2305.06,2239.08,2093.07,1966.95,1932.74,1955.06,1984.13,1976.12,1964.72,1919.82,1794.02,1598.96,1457.3,1355.83,1226.12,1119.47,1027.49,976.33,961.88,949.417,951.679,965.38,1033.72,1162.38,1317.96,1487.87,1658.69,1825.48,1999.15,2192,2411.51,2676.98,2975.25,3280.04,3622.37,3629.86
39249.7,36909.7,34614.4,32143.7,29691.9,27262.6,24795.8,22250.9,19360.1,16458.9,14498.7,13335.9,12333.5,11736.2,11437.9,11186.8,10860.2,9469.66,7720.86,6585.68,5856.86,5402.53,5150.55,5037.68,5066.76,5023.42,4967.31,4850.82,4682.97,4462.16,4100.14,3771.05,3458.9,3168.46,2962.84,2791.09,2684.08,2621.85,2540.83,2458.35,2374.2,2305.06,2239.08,2093.07,1966.95,1932.74,1955.06,1984.13,1976.12,1964.72,1919.82,1794.02,1598.96,1457.3,1355.83,1226.12,1119.47,1027.49,976.33,961.88,949.417,951.679,965.38,1033.72,1162.38,1317.96,1487.87,1658.69,1825.48,1999.15,2192,2411.51,2676.98,2975.25,3280.04,3622.37,3629.86
39249.7,36909.7,34614.4,32143.7,29691.9,27262.6,24795.8,22250.9,19360.1,16458.9,14498.7,13335.9,12333.5,11736.2,11437.9,11186.8,10860.2,9469.66,7720.86,6585.68,5856.86,5402.53,5150.55,5037.68,5066.76,5023.42,4967.31,4850.82,4682.97,4462.16,4100.14,3771.05,3458.9,3168.46,2962.84,2791.09,2684.08,2621.85,2540.83,2458.35,2374.2,2305.06,2239.08,2093.07,1966.95,1932.74,1955.06,1984.13,1976.12,1964.72,1919.82,1794.02,1598.96,1457.3,1355.83,1226.12,1119.47,1027.49,976.33,961.88,949.417,951.679,965.38,1033.72,1162.38,1317.96,1487.87,1658.69,1825.48,1999.15,2192,2411.51,2676.98,2975.25,3280.04,3622.37,3629.86
39249.7,36909.7,34614.4,32143.7,29691.9,27262.6,24795.8,22250.9,19360.1,16458.9,14498.7,13335.9,12333.5,11736.2,11437.9,11186.8,10860.2,9469.66,7720.86,6585.68,5856.86,5402.53,5150.55,5037.68,5066.76,5023.42,4967.31,4850.82,4682.97,4462.16,4100.14,3771.05,3458.9,3168.46,2962.84,2791.09,2684.08,2621.85,2540.83,2458.35,2374.2,2305.06,2239.08,2093.07,1966.95,1932.74,1955.06,1984.13,1976.12,1964.72,1919.82,1794.02,1598.96,1457.3,1355.83,1226.12,1119.47,1027.49,976.33,961.88,949.417,951.679,965.38,1033.72,1162.38,1317.96,1487.87,1658.69,1825.48,1999.15,2192,2411.51,2676.98,2975.25,3280.04,3622.37,3629.86
39249.7,36909.7,34614.4,32143.7,29691.9,27262.6,24795.8,22250.9,19360.1,16458.9,14498.7,13335.9,12333.5,11736.2,11437.9,11186.8,10860.2,9469.66,7720.86,6585.68,5856.86,5402.53,5150.55,5037.68,5066.76,5023.42,4967.31,4850.82,4682.97,4462.16,4100.14,3771.05,3458.9,3168.46,2962.84,2791.09,2684.08,2621.85,2540.83,2458.35,2374.2,2305.06,2239.08,2093.07,1966.95,1932.74,1955.06,1984.13,1976.12,1964.72,1919.82,1794.02,1598.96,1457.3,1355.83,1226.12,1119.47,1027.49,976.33,961.88,949.417,951.679,965.38,1033.72,1162.38,1317.96,1487.87,1658.69,1825.48,1999.15,2192,2411.51,2676.98,2975.25,3280.04,3622.37,3629.86
39249.7,36909.7,34614.4,32143.7,29691.9,27262.6,24795.8,22250.9,19360.1,16458.9,14498.7,13335.9,12333.5,11736.2,11437.9,11186.8,10860.2,9469.66,7720.86,6585.68,5856.86,5402.53,5150.55,5037.68,5066.76,5023.42,4967.31,4850.82,4682.97,4462.16,4100.14,3771.05,3458.9,3168.46,2962.84,2791.09,2684.08,2621.85,2540.83,2458.35,2374.2,2305.06,2239.08,2093.07,1966.95,1932.74,1955.06,1984.13,1976.12,1964.72,1919.82,1794.02,1598.96,1457.3,1355.83,1226.12,1119.47,1027.49,976.33,961.88,949.417,951.679,965.38,1033.72,1162.38,1317.96,1487.87,1658.69,1825.48,1999.15,2192,2411.51,2676.98,2975.25,3280.04,3622.37,3629.86
39249.7,36909.7,34614.4,32143.7,29691.9,27262.6,24795.8,22250.9,19360.1,16458.9,14498.7,13335.9,12333.5,11736.2,11437.9,11186.8,10860.2,9469.66,7720.86,6585.68,5856.86,5402.53,5150.55,5037.68,5066.76,5023.42,4967.31,4850.82,4682.97,4462.16,4100.14,3771.05,3458.9,3168.46,2962.84,2791.09,2684.08,2621.85,2540.83,2458.35,2374.2,2305.06,2239.08,2093.07,1966.95,1932.74,1955.06,1984.13,1976.12,1964.72,1919.82,1794.02,1598.96,1457.3,1355.83,1226.12,1119.47,1027.49,976.33,961.88,949.417,951.679,965.38,1033.72,1162.38,1317.96,1487.87,1658.69,1825.48,1999.15,2192,2411.51,2676.98,2975.25,3280.04,3622.37,3629.86
39249.7,36909.7,34614.4,32143.7,29691.9,27262.6,24795.8,22250.9,19360.1,16458.9,14498.7,13335.9,12333.5,11736.2,11437.9,11186.8,10860.2,9469.66,7720.86,6585.68,5856.86,5402.53,5150.55,5037.68,5066.76,5023.42,4967.31,4850.82,4682.97,4462.16,4100.14,3771.05,3458.9,3168.46,2962.84,2791.09,2684.08,2621.85,2540.83,2458.35,2374.2,2305.06,2239.08,2093.07,1966.95,1932.74,1955.06,1984.13,1976.12,1964.72,1919.82,1794.02,1598.96,1457.3,1355.83,1226.12,1119.47,1027.49,976.33,961.88,949.417,951.679,965.38,1033.72,1162.38,1317.96,1487.87,1658.69,1825.48,1999.15,2192,2411.51,2676.98,2975.25,3280.04,3622.37,3629.86
39249.7,36909.7,34614.4,32143.7,29691.9,27262.6,24795.8,22250.9,19360.1,16458.9,14498.7,13335.9,12333.5,11736.2,11437.9,11186.8,10860.2,9469.66,7720.86,6585.68,5856.86,5402.53,5150.55,5037.68,5066.76,5023.42,4967.31,4850.82,4682.97,4462.16,4100.14,3771.05,3458.9,3168.46,2962.84,2791.09,2684.08,2621.85,2540.83,2458.35,2374.2,2305.06,2239.08,2093.07,1966.95,1932.74,1955.06,1984.13,1976.12,1964.72,1919.82,1794.02,1598.96,1457.3,1355.83,1226.12,1119.47,1027.49,976.33,961.88,949.417,951.679,965.38,1033.72,1162.38,1317.96,1487.87,1658.69,1825.48,1999.15,2192,2411.51,2676.98,2975.25,3280.04,3622.37,3629.86
