rt1_1928,rt1_1929,rt1_1930,rt1_1931,rt1_1932,rt1_1933,rt1_1934,rt1_1935,rt1_1936,rt1_1937,rt1_1938,rt1_1939,rt1_1940,rt1_1941,rt1_1942,rt1_1943,rt1_1944,rt1_1945,rt1_1946,rt1_1947,rt1_1948,rt1_1949,rt1_1950,rt1_1951,rt1_1952,rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002
1955.94,2006.51,2158.37,2357.48,2322.48,2309.71,2579.79,2306.33,2281.52,2560.65,2257.96,2549.43,2192.35,2114.34,1935.22,2067.86,2024.97,1960.72,1778.52,1526.24,1490,1300.38,1429.49,1355.08,1259.88,1207.39,1282.09,1239.01,1145.21,1246.94,1061.57,1137.03,850.406,829.015,794.816,782.449,747.802,757.526,721.583,696.706,714.853,576.834,566.883,525.064,512.131,523.527,509.181,492.1,527.472,499.454,517.98,503.989,450.193,380.596,332.961,285.33,248.892,266.962,229.511,245.549,245.265,246.413,274.153,287.978,275.425,366.007,420.619,484.623,565.459,574.039,649.503,789.322,857.801,960.745,1085.68
1718.27,1898.73,1680.19,3017.92,2888.21,2866.1,2439.54,1804.61,2348.84,2175.35,2627.19,1853.97,2100.74,2198.76,2055.56,2113.78,2740.39,2624.95,1939.52,1652.41,1517.13,1409.04,1398.45,1408.49,1327.3,1162.96,1036.42,1648.43,1406.62,1271.96,1107.85,1203.63,788.123,867.906,721.086,776.345,701.507,924.084,659.154,717.26,648.762,639.003,545.43,690.886,593.459,400.015,470.246,494.919,489.702,426.233,574.765,464.116,419.625,395.184,386.53,330.713,211.296,296.227,293.547,234.617,251.754,336.014,238.859,320.9,267.487,343.58,518.313,552.946,650.946,559.804,634.499,635.831,900.841,1158.34,984.926
2007.07,1870.6,1706.32,2567.61,2893.95,2602.9,2188.44,1866.89,2747.7,2458.31,2660.25,1703.43,2041.52,2370.93,1882.18,2007.12,2253.97,2587.2,2050.85,1678.38,1739.26,1412.83,1201.14,1689.06,1420.67,1240.29,1075.94,1397.84,1651.45,1700.38,1026.51,1174.97,817.469,1035.64,712.449,833.943,650.008,871.013,707.051,681.581,634.796,642.375,561.982,509.431,609.899,358.531,491.129,512.341,496.579,380.62,537.274,414.902,420.161,449.257,303.006,320.472,213.808,221.555,240.032,237.417,245.998,422.236,185.928,255.464,231.822,290.281,413.063,502.024,790.892,472.673,461.278,442.152,680.325,809.932,734.762
1625.01,1945.46,1802.17,2498.55,2994.58,3287.21,2304.83,1817.17,2407.88,2514.83,3046.37,1960.14,2182.56,2567.69,1385.76,1997.66,2089.31,2037.3,2657.46,1614.89,1772.16,1322.77,1087.65,1787.07,1289.72,1055.84,1392.85,1550.73,1805.91,1908.4,845.594,1416.13,785.942,1021.49,733.518,866.016,597.585,847.26,791.228,744.653,579.976,628.625,569.062,479.649,760.084,341.657,588.68,401.615,569.762,382.497,559.712,415.493,387.159,391.046,342.287,340.558,201.434,228.005,252.184,211.653,270.658,384.061,170.815,244.244,235.425,303.609,466.114,527.078,745.997,487.127,485.887,408.699,823.319,809.29,853.2
1525.2,1590.14,1695.26,2413.49,3399.88,2679.39,2326.82,1836.08,2712.62,2348.71,3023.12,1863.37,2138.8,2767.4,1409.46,1881.72,2405.87,2131.67,2586.01,1798.04,1535.6,1348.23,1102.37,1556.92,1170.2,998.732,1296.02,1865.15,1596.75,1756.68,851.23,1470.77,857.389,915.967,712.306,909.897,507.74,789.3,895.944,802.928,643.659,609.033,644.181,531.633,954.611,279.292,524.21,420.411,562.955,376.065,658.29,450.803,342.733,407.352,332.235,315.175,164.422,258.169,246.257,176.409,320.787,375.997,152.314,244.434,221.508,358.301,394.812,562.689,747.715,439.987,475.829,403.268,866.215,836.101,958.823
1479.21,1386.18,1521.94,2488.72,3696.31,2458.73,2746.7,1621.85,2698.86,2234.13,3044.32,1787.88,1864.28,2346.11,1344.83,1736.25,2478.83,1769.51,2601.11,1486.54,1300.28,1334.12,1115.88,1349.45,1171.85,886.958,983.195,1824.02,1582.11,1795.67,671.828,1749.98,982.692,865.495,734.621,942.836,526.522,771.014,763.713,795.825,829.249,594.379,604.366,739.045,1078.18,272.167,400.95,375.188,636.133,412.662,657.449,477.962,356.036,382.517,270.542,267.78,158.309,247.837,217.546,161.185,314.815,359.276,160.839,204.869,181.618,350.891,347.1,510.28,807.351,491.868,412.435,422.54,817.275,843.762,823.128
1545,1073.28,1430.37,3005.81,4070.68,2182.17,3214.64,1441.29,2611.49,2435.5,3429.95,1642.14,1744.02,1952.94,1582.14,2127.78,2519.27,1653,2791.78,1362.68,1242.88,1160.56,1237.93,1499.09,1269.63,921.727,766.163,1222.01,1919.74,1441.85,602.348,1515.16,1055.84,864.542,820.862,918.922,551.416,535.52,860.039,637.368,903.822,733.585,677.143,658.566,961.364,287.399,333.095,395.605,647.018,398.827,659.035,486.112,285.804,402.201,284.459,270.757,127.575,190.665,215.104,174.786,333.452,308.964,153.771,170.955,164.447,357.977,324.055,504.935,719.204,353.304,405.26,371.404,717.696,710.667,745.469
1518.34,1141.27,1139.65,3043,3788.97,2383.7,2910.21,1473.86,2791.78,2079.18,3330.17,1299.29,1756.34,1970.89,1624.56,2051.33,3148.35,1724.55,2781.97,1313.37,1066.44,1120.77,1222.05,1392.79,1455.77,969.073,636.912,1340.05,2074.54,1260.92,595.041,1699.59,1006.74,940.837,810.388,746.77,567.116,519.986,866.386,586.458,1192.81,685.535,598.316,785.053,867.318,308.46,308.903,405.545,617.475,415.721,627.671,472.78,291.342,352.827,318.379,264.646,116.443,172.021,225.657,174.666,298.937,329.935,140.667,184.816,153.555,336.301,301.283,518.754,671.137,318.477,464.067,358.652,780.716,697.919,612.914
1686.97,1064.65,1413.74,2591.19,3770.47,2917.46,2449.68,1527.5,2082.63,1790.83,3637.38,1407.01,1507.48,1722.54,1840.6,1744.74,2644.71,1611.65,2861.6,1185.86,970.384,982.963,978.055,1609.72,1590.12,1005.93,512.719,1205.81,2090.76,1064.22,541.728,1877.39,946.746,1181.12,587.813,867.454,661.609,529.136,855.778,615.81,1065.78,592.971,636.016,768.361,1021.35,347.355,378.905,356.618,530.245,488.275,564.843,546.608,306.145,302.279,281.135,222.052,126.075,167.343,200.785,151.604,257.075,300.915,205.232,205.844,138.096,303.646,266.538,527.385,601.429,355.152,427.308,330.607,749.697,722.978,673.618
1291.63,1224.62,978.142,2404.71,4202.69,3445.05,2268.9,1756.84,2026.04,1625.29,3890.16,1428.88,1479.52,1490.87,2045.49,1644.22,2658.64,1991.52,2970.65,1086.47,943.983,869.998,904.393,2189.29,1253.08,952.172,501.691,1344.96,2184.24,1160.54,597.819,1915.37,885.769,861.3,628.829,1058.2,778.875,526.21,974.498,515.267,989.083,566.908,766.232,657.916,987.009,352.258,371.309,311.535,547.819,534.171,571.057,622.059,295.145,305.95,251.221,243.927,136.925,150.987,226.203,138.64,248.909,342.492,263.469,199.915,144.815,315.569,298.65,739.136,605.724,401.148,353.636,333.709,736.39,859.571,755.725
1386.64,1479.96,1162.13,2376.86,3754.12,3478.08,1769.36,1747.38,2347.47,1554.02,3964.16,1395.63,1244.69,1523.45,1990.62,1801.1,2804.16,2215.58,2606.78,1078.12,820.01,824.38,847.733,2105.92,1378.42,995.884,449.026,1484.03,2408.72,1149.81,724.505,1498.02,989.597,892.179,602.086,1080.27,796.376,469.892,910.429,530.838,998.677,570.002,656.736,621.139,1018.57,344.82,354.512,321.568,456.734,611.786,544.309,661.017,307.77,299.954,228.013,240.777,113.585,117.393,204.808,125.416,206.975,288.941,228.513,195.049,118.053,286.95,274.869,669.733,531.536,367.118,322.887,296.484,743.674,776.134,846.187
1412.8,1325.11,777.254,2762.32,2863.33,3262.89,1680.97,1653.05,3214.56,1393.4,3833.85,901.397,1257.44,1392.83,2306.88,1971.44,2355.02,2055.42,2554.32,1370.33,829.457,716.138,796.801,2330.47,1125.54,1068.8,409.829,1392.21,3631.61,1014.09,687.709,1228.07,1126.8,1111.17,658.623,1056.89,671.006,445.52,729.838,571.93,1042.31,629.467,591.9,660.991,805.793,368.248,403.218,257.605,499.323,617.572,406.592,690.391,366.43,309.218,204.199,232.44,103.465,117.253,172.181,106.664,192.843,283.679,162.002,208.438,131.992,198.464,223.047,735.126,426.615,310.569,322.022,244.889,885.525,635.356,631.551
1100.7,1248.77,651.213,3081.49,3306.61,3003.39,1611.74,2056.65,2488.07,1540.68,4811.9,858.076,966.093,1424.93,2102.11,1986.73,2228.72,2389.21,2157.19,1146.55,719.32,674.111,909.591,2065.23,1123.87,1044.9,488.971,1265.06,3537.04,990.212,756.511,1193.08,1405.84,1109.21,496.802,1398.41,714.864,448.023,665.35,411.898,1238.66,688.578,668.178,556.185,892.281,388.971,469.844,228.728,537.893,568.193,472.968,877.283,439.441,196.752,167.229,204.684,103.227,131.693,200.707,104.091,194.207,252.346,144.617,193.31,151.081,224.028,189.698,828.339,414.083,264.533,356.141,262.745,957.382,734.993,677.695
1003.52,1318.79,607.545,2968.32,3129.18,2924.88,1666.31,1881.23,2417.34,1444.2,6347,971.198,1010.18,1308.46,1990.13,1976.15,2235.47,2503.72,2343.79,1168.34,623.989,709.005,911.763,2183.97,1069.65,910.005,517.656,1295.37,4022.14,997.863,668.394,1148.49,1350.56,1041.37,554.269,1383.57,699.015,522.883,696.061,403.799,1134.93,640.617,667.423,559.878,867.992,388.183,463.341,224.976,532.934,596.897,436.467,904.795,416.656,218.441,161.158,218.497,108.256,129.798,234.325,91.2056,190.723,247.827,169.878,191.758,159.49,245.06,214.221,809.365,452.716,252.612,367.097,261.701,1041.39,770.565,694.551
974.615,1415.95,800.116,3144.17,2596.54,2517.92,1766.39,1460.58,3297.91,1575.15,5893.74,741.997,1310.33,1504.84,2455.26,1672.5,2128.91,2475.68,2614.06,1365.74,685.268,853.71,1001.89,2530.01,762.308,845.422,468.184,1112.34,4072.6,1022.78,726.714,1539.09,1205.28,741.303,654.741,1418.53,713.603,548.185,692.428,338.26,1167.6,521.508,767.034,559.444,910.67,399.83,534.734,239.035,429.316,547.629,382.438,848.293,412.635,242.435,134.91,215.908,119.238,124.696,235.739,92.0155,189.197,270.813,180.073,175.884,206.225,275.696,273.77,911.831,398.169,240.626,402.969,285.544,890.898,806.926,825.584
960.833,1220.86,862.498,2954.69,2976.51,2129.89,1940.94,1473.1,3714.31,1249.6,5732.51,865.074,1101.22,1671.34,2435.95,1553.03,2415.22,2683.48,2657.12,1284.87,520.034,887.491,1140.07,2982.58,840.042,860.869,455.29,1046.2,3664,1092.33,785.183,1256.63,1041.69,734.617,526.032,1939.51,685.773,606.42,765.304,297.009,1222.97,487.859,642.456,635.294,874.071,481.843,499.65,222.494,412.238,571.886,411.305,1111.23,363.204,265.748,135.533,212.817,123.778,150.477,228.562,97.0632,171.798,355.539,223.503,175.286,223.582,289.945,339.344,923.293,491.908,196.685,428.675,276.349,844.347,827.276,980.186
891.614,1042.12,757.839,2200.69,3506.97,2057.67,1856.37,1534.76,3398.76,1488.22,5351.29,1103.11,1026.08,1571.36,2380.46,1771.13,2679.37,2194.59,3083,1016.86,630.126,941.223,1161.1,2422.52,760.311,719.162,449.268,964.917,4886.67,1020.86,735.999,1189.84,803.267,644.472,518.157,2100.31,719.247,672.673,601.081,240.28,1096.57,444.508,650.777,692.846,886.96,426.385,441.372,249.409,412.893,538.764,388.002,1056.62,328.795,270.255,161.042,186.653,132.71,178.449,227.965,140.625,190.926,400.078,218.854,233.275,213.283,322.538,364.674,1033.22,654.459,214.865,475.932,290.72,847.112,1098.87,1110.62
