sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014
17974.9,17251.7,41706.4,49820.4,53919.8,51867,44594.1,36189.7,28205.3,45498.1,48106.1,44215.1,38508.9,32287.5,32037.4,28988.4,24514.6,47159.1,51964.9,58018.9,55299.1,48420.6,50968.9,47453.6,39728.1,39248.8,35334.8,32246.2,26964.3,37601.1,39576.4,35538.9,56272.9,64228.5,61032.1,51951.4,41670.4,32662.8,27164.9,23635.8,20876,17736.4,15296.3,13104.5,10562.6,8550.68,8717.53,8254.15,7677.6,7275.53,7900.33,7650.32,10810.6,11579.2,13676,14158.8,15671.3,16555.2,15614
16550.3,14817.1,41974.9,51246.7,54895.6,53601.1,46682.1,38303.5,29863.5,58253.1,64012.4,59840.6,51623.5,42104.3,38405.5,33117.8,27063.3,55964.3,62679.7,68661.9,64817.6,56143.4,58926.7,54793.9,46031.3,42052.8,36063.6,33760.6,28852.7,35525.8,35803.3,31756,58867.2,70513.3,68465.3,58654.5,47092.8,36905.6,30142.6,25212.2,21696.9,18269.1,15549.3,13046.1,10471.9,8591.77,8760.87,8384.36,7742.87,7347.27,7684.77,7311.52,10854.9,11759.1,13634.1,13620.9,14543.5,15174.3,13797.4
17581.3,16302.2,42844.9,51877.2,58629,58908.1,52070.6,42897.4,33363.6,63568.7,69893.6,64540.7,56061.8,45853.6,42175,36724.9,30323.4,53338.5,57761.3,60663.8,56520.2,48954.1,56368.4,54930.9,47446.6,42772.8,36234.8,34544.8,29894.6,37867,38536.1,34342,61889,72087.5,69097.7,58886.5,47277.3,36840,29514.8,24398,21117,17880.7,15548.5,13175,10605.9,8457.98,8628.32,8094.23,7661.18,7031,7462.5,7174.97,10517.2,11286.8,14185.5,14432.7,15202.6,16175.2,15193.1
18371.5,17269.8,42057,50381.4,56431.7,56864.7,50313.2,41524.3,32423.8,56272.5,60718.1,56079.5,48994.4,40826.3,37316.4,32354.3,26751.4,55759.7,62601.4,66176.3,61408.2,52863.7,58962,56656.5,48612.5,43403.5,36574.2,34566.3,29796.4,38768.8,39832.4,35698.4,64519.9,74155,70681,59879.4,47820.7,37305,29946.3,24809.1,21368.4,18062.8,15764,13484.8,10927.6,8784.77,8875.8,8236.32,7763.8,7125.66,7480.97,7163.1,10646.2,11480,14878.2,15277.6,15757.4,16637.9,15513
18920.5,17626.3,42612.3,51065.8,58076.9,59084.2,52585.2,43403.4,33773.3,59993,65028.8,60090.4,52297.8,43570.4,39915.9,34665.4,28660,57976.9,64701.1,68553.1,63550.6,54738.2,59691.4,56779.8,48480.3,42600.9,35769.9,32661,27626.4,40589.3,43500.7,39717.1,68094,77108,72975.8,61560,48962.2,38108.1,30566.2,25229.8,21602.8,18165,15801.5,13498.8,10956.7,8769.58,8843.17,8190.88,7708.76,7157.13,7579.75,7272.11,10684.3,11477.1,14633.6,14877,15320.8,16360.4,15330.6
19902.8,18535.1,43728.4,52252.5,60719.1,61658.8,54862.2,45085,34832.6,61179.2,66189.9,61208,53309.6,44349.5,41167.2,36111.7,30100,57077.4,62950.6,65424,60154.3,51702.2,57339.7,55143.1,47452.6,41625.8,34961.2,32173.4,27368.7,41092.9,44339.8,40611.7,66493.8,75155.6,71246.1,60203.7,48055.2,37530.7,30125.5,24876.3,21327.4,18073.9,15821.9,13586.2,11081.9,8941.68,9047.86,8378.04,7823.37,7196.61,7476.74,7106.49,10450.8,11227.2,14579.5,14920.8,15407.3,16565.5,15496.3
19003,17462.6,42104.1,50451.4,57364.8,58650,52395.9,43283,33661.6,58201,62664.5,58485.4,51200.8,42959.2,39618.1,34616.6,28829.3,61098.3,68954.7,71362.3,65059.2,55471.2,60665.1,57949.3,49662.7,43127.8,36159.9,33145.4,28169.2,44105,48165.5,44249.6,70673.1,79747,75554,63789.1,50906.5,39626.8,31369.6,25752.6,21801.2,18354.9,16015.5,13771.8,11187,8983.1,9108.44,8468.81,7802.06,7048.8,7257.61,6898.27,10329.6,11169.6,14567.9,14915.6,15484.3,16638.5,15598.8
17357.1,15752.8,41447.2,50234.1,58179.9,59489,53102.3,43786.7,34008.9,60861.5,66137.7,61767.2,53574.9,44788.1,40663.3,35246.4,29196,59985.4,67316.3,70360.1,64487.9,55210.6,60764.4,58124.8,49765.7,43544.3,36759.8,33493.1,28316.9,45861.7,50533.2,46513.8,67877.3,75804.3,71544.5,60322.3,48418.9,37940.9,30218.9,24975.7,21368.8,18095.3,15992.9,13872.1,11348.3,9163.61,9312.72,8587.65,7828.32,6963.76,7216.41,6894.12,10224.1,11044.1,14137.6,14451.5,15013.1,16073.9,15075.6
18716.6,16918,42371.5,51050.2,58599.4,60051.3,53743.6,44507.4,34682.5,62828.8,68460.3,63877,55514.1,46474.8,41779.9,36023.9,29765.4,61698,69452.4,71524.5,65065.1,55510.1,60177,57157,48688.3,42116.5,35522.3,32070.9,26983.2,47617.3,53719.4,49911,70658.3,77764.3,72871,61112,48960.8,38387.2,30744.5,25408.1,21789.5,18459.6,16027.9,13736.5,11184.6,8936.35,9078.1,8378.51,7682.45,6920.19,7066.78,6671.74,10549.8,11605.8,14123.9,14169.5,14654.5,15661.2,14728.1
17942.4,16053.2,41625.3,50419.1,57733,60090.9,54306.1,45412.5,35645,61728.2,66591.3,62356.3,54120,45721,41173.5,35609.3,29580.5,62690.3,71000,73678.5,66986.5,57209,62130.7,59041.4,50314.1,44115.3,37315.7,33234.6,27713.3,47634,53506,49640.1,75791.9,84737.9,79940.6,67240.8,53514.8,41660.9,32702.8,26740.4,22493.3,18870.3,16057.8,13704.6,11123.1,8889.03,9036.29,8351.67,7651.44,6862.77,6992.47,6578.59,10505.3,11584.6,13702.5,13563.1,14021,15385,14711.9
