rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013
159262,26.8751,7213.48,40783.4,1786.43,4914.04,1118.46,100694,3734.11,21273.6,339.714,20145.4,16867.2,4497.12,3499.14,64450.2,372.941,41123.5,9074.9,6345.43,49377.8,1246.95,3257.46,6071.84,40011,70.2739,28703.8,116805,4196.13,749.901,2103.5,46667,1117.23,190.72,14657.3,4028.05,10910.4,5734.93,1043.15,7530.6,9422.46,9210.21,1536.19,2077.56,26686.6,0.385981,50.9885,424.295,1880.89,2652.04,23806.4,78.941,7293.37,211.202,6820.9,25803.7,0.0182931
166428,25.4209,7129.98,38676.9,1763.19,5050.22,1119.71,101799,3478.13,23875.7,315.157,20245.7,18421.2,4857.85,3435.09,74788.8,424.46,29942.7,9368.61,6026.03,51801,1236.53,3179.51,6696.28,37451.7,73.7381,28774.6,103590,4309.45,639.719,2871.66,49452.5,1132.92,185.252,14624.6,3941.72,11463.1,5652.29,1166.51,5906.95,11255.1,8846.21,1714.03,2325.19,27040.8,0.33284,47.0525,398.887,2013.84,2442.69,24068.7,86.7678,7197.99,223.588,6773.11,25023.2,0.0150086
163450,25.761,7853.29,36616.7,1787.3,5298.02,1061.42,101002,3611.22,23841.1,322.359,20808.5,17114.7,4819.42,3419,66360.5,403.427,41902.4,8939.94,5781.36,56808.9,1215.42,3278.09,6726.57,37382.7,73.7498,26062.1,116274,4250.49,655.271,3543.11,45834,1163.22,190.762,14137.2,3540.35,10663.7,5955.95,1242.48,5796.05,11680.6,7856.66,1591.86,2186.95,27330.5,0.325269,40.5035,466.267,2058.91,2151.18,24763.9,75.5658,7090.21,216.848,7017.13,25861.3,0.0165555
161551,21.9456,8349.91,37171.4,1798.28,4927.34,1124.6,99563.9,3954.91,22570.8,251.307,21593.8,16133.4,4560.67,3379.08,60220.2,419.865,40985.8,8741.05,5942.45,50071.8,1238.58,3793.93,5577.49,46812.2,79.5137,23592.1,112423,4233.59,604.407,4421.52,49353.3,1147.42,185.67,14964.8,3797.57,8980.11,5566.7,1473.33,5900.7,11341.3,7760.6,2073.5,2103.9,26555,0.330775,32.5813,529.833,1938.22,2334.53,24665.4,86.1383,6177.78,262.486,7474.63,23319.2,0.0161669
156879,25.3562,7732.15,43220.7,1677.88,5131.21,1105.3,95598.9,3840.82,23674.5,210.912,22721.3,15464.1,4486.65,3346.48,63093.3,403.863,43038.5,8126.98,6082.67,47699,1250.4,3904.06,5533.08,45348.1,78.1932,24720.1,112632,4278.87,594.972,4846.43,42908.8,1185.81,178.971,15547.1,2619.49,10254.1,4696,1555.89,7362.54,10560.9,7892.93,1967.42,2331.54,26749.1,0.333928,30.2226,538.839,1801.31,2436.24,24361.6,84.8849,6257.85,293.543,6305.44,24055.4,0.0216316
161670,32.2577,8234.64,40239.8,1621.31,5559.64,1054.41,97791.6,4432.51,20809.3,224.608,21747.9,15581.5,4539.01,3378.78,62422.1,402.747,40446.4,9084.95,6149.81,49365.5,1217.91,3831.79,5441.74,45991.2,74.483,28090.7,110589,4318.49,586.117,4129.91,40719.8,1272.88,151.866,16842.5,2288.88,10675.8,4993.29,1364.07,9175.97,10264.1,7666.95,1901.94,2148.91,26842.8,0.428395,29.3601,495.527,1890.06,2224.72,22763.7,99.997,6017.27,310.115,5674.8,24486.3,0.0216198
163907,28.7256,8119.62,40148.5,1598.31,6115.39,990.002,98866.4,4839.28,19261.6,250.782,23888.2,14988.2,4334.97,3412.23,64741.7,396.625,38712,9365,6394.62,49451.8,1137.24,5256.78,5322.52,39607.1,102.223,28252.1,112700,4416.61,546.635,4595.8,43494.9,1285.9,139.522,17431.3,1941.62,11166.9,5269.77,1349.12,8749.28,10340.4,7490.77,2234.64,2125.71,27373.7,0.402026,24.7868,499.075,2085.66,2448.18,24173,100.742,5443.69,302.088,4995.84,24569.7,0.014146
159679,22.8133,8146.61,44320.4,1717.33,5621.13,1039.17,99688.6,4399.29,19014.4,257.191,26397.7,13396.2,4433.43,3447.69,70635.9,365.624,36650.1,9921.99,6318.36,49689.6,1135.53,6846.54,4572.5,43748.9,106.121,28627.8,121144,4351,581.004,4394.7,42574.6,1322.64,136.26,17091.3,1836.56,11483.1,5476.41,1363.01,9154.12,9964.68,7695.29,2120.79,2287.61,26937.3,0.343377,25.0348,566.994,1905.53,2555.88,24886.6,85.9513,5800.23,287.897,4702.96,24006.8,0.0144277
157530,25.4772,8740.43,43088.9,1654.36,5635.83,1021.4,92724.6,4480.92,18156.3,324.265,26506.3,12337.2,4259.12,3451.39,69673.7,389.099,33407.8,9831.53,6330.44,47692.3,1120.45,7215.69,4243.49,45737,119.416,28453.6,113138,4539.14,458.918,5103.62,41024.7,1450.67,132.285,16762.3,1633.81,13343.2,5264.88,1416.1,8320.35,9513.56,7607.76,2128.47,2501.03,26868.9,0.338584,24.6745,614.796,1812.87,2443.07,24793.1,96.3782,5741.47,233.357,4498.1,26583.7,0.0160698
152615,19.4583,10110.2,41511.2,1785.79,5161.96,1081.03,94266.1,3998.34,18881.5,420.521,26479.4,10138.6,4654.15,3420.24,69218.4,385.104,37939.7,10415.9,5800.53,46761.9,1236.61,4738.04,4459.15,45791.5,129.013,26843,122051,4492.52,467.532,4110.55,45993,1463.77,128.236,17662.8,1682.46,12636.5,4903.76,1441.7,8350.11,8962.83,7691.24,2184.06,2406.04,27807.4,0.297296,25.8901,730.923,1734.83,2358.77,24423.8,112.962,5826.9,259.034,4531.71,28691.2,0.0151077
154295,19.8537,10215.1,38106.7,1626.95,5534.8,1028.69,102929,4824.82,16367.9,493.242,26693.6,9133.7,4906.18,3340.98,68099.8,408.206,36848.4,11111.8,5601.18,47231.2,1205.38,5493.73,4347.66,47101.6,132.556,26997.1,110278,4552.64,431.078,5360.21,43385,1435.46,125.472,18092.2,1592.22,12536.7,4584.22,1739.77,8076.13,7724.34,8295.31,2442.83,2192.72,28073.3,0.261253,26.3989,820.278,1909.47,2210.51,27007.3,90.2852,5817.18,271.142,5197.94,28470.3,0.0103835
153984,23.011,8325.81,45097.9,1556.67,5552.12,1070.66,91288,3861.71,18121.8,481.979,26754.7,10324.5,4461.86,3314.63,68090,406.353,32689.8,12573.5,5360.5,43168.2,1228.06,5037.82,4318.19,54694.4,126.433,27458,115353,4306.55,486.887,5929.89,38544.5,1522.12,120.803,18793.3,1497.06,13485.8,4251.59,1577,9342.91,7555.74,8374.72,2519.3,2186.09,27243.4,0.291319,25.7625,945.072,1853,2155.61,26715.6,84.7889,6401.66,207.116,5379.56,26682.6,0.0125015
147332,29.086,8649.84,42920.7,1480.25,5655,1049.37,90028.6,4243.67,17390.9,408.312,29386.5,9832.06,4155.77,3410.58,66026.8,372.077,36051,12087.9,5400.64,43580.3,1245.02,4829.62,4509.37,53121,116.499,29322.9,113310,4368.7,447.237,5536.5,40112.2,1566.72,115.923,19051.5,1797.26,15881.8,3767.95,1465.14,9822.26,7316.15,8171.19,3100.6,2419.21,26745.5,0.282442,29.937,947.037,1811.08,2053.57,26263.4,89.2605,5481.46,195.147,4620.95,27708.9,0.012053
