sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014
6.35699,4.01228,2.60407,2.27213,2.746,9.87251,8.30793,4.89532,4.70353,9.0006,14.0542,16.762,15.914,14.2429,13.4224,14.2956,8.0321,5.5441,4.71558,5.04932,9.72122,16.9816,21.8384,24.2407,27.3877,30.267,31.5784,30.3495,28.8309,28.4333,30.0291,35.1439,39.2685,39.305,40.8362,45.7198,52.3149,58.6696,62.4858,62.8027,64.4803,64.5246,61.7977,52.6089,48.4311,41.3582,36.2917,33.1095,31.6307,34.1747,36.63,38.1215
4.68915,3.73581,3.04374,3.39805,4.00414,13.8679,12.1511,6.02739,4.31908,5.01207,7.35675,10.3697,11.2632,11.7058,12.9621,16.2709,12.4449,10.2564,8.0398,6.89026,10.1869,15.4443,18.7265,20.7022,24.4164,28.8713,32.9253,34.8374,35.4923,36.1103,37.6463,41.8817,44.3841,43.3075,44.0304,48.2823,54.5074,60.5494,64.3386,65.0698,67.3881,67.18,63.9459,55.4996,51.9433,44.6168,39.038,35.0209,33.6319,36.1159,38.1821,39.6744
6.80193,5.21521,4.04515,4.60886,5.36807,14.2726,12.3224,6.79579,5.44088,7.53864,10.8443,13.4293,13.6033,13.391,14.043,16.3535,11.6347,9.09209,7.07242,6.27063,9.89661,15.3143,18.6033,20.5071,23.8288,27.7464,30.811,31.2583,30.555,30.3298,31.5767,35.5636,38.1892,37.5949,38.9374,43.693,50.146,56.911,61.3363,61.8888,63.952,63.7784,60.5346,52.7842,50.3887,44.4714,39.4929,36.5786,35.7384,38.5887,41.8164,43.3239
5.10595,3.60411,3.38179,4.12308,4.8822,15.3618,13.3441,6.92393,5.21711,5.64614,7.56559,10.0939,10.4637,10.677,11.9859,15.7166,12.8918,10.7173,8.23137,6.94698,10.2028,14.841,17.8532,19.6313,22.53,26.6689,30.8176,32.9852,33.5897,33.8734,35.3455,39.5158,41.2942,39.8347,40.6272,45.0338,51.8181,59.1569,63.8488,64.8356,67.4902,67.2028,63.3822,55.1731,52.5234,46.3821,41.5021,39.3915,38.8614,41.8903,44.8156,46.2929
9.04047,6.51495,4.67723,4.71784,5.1109,15.8884,14.7061,8.00763,6.01409,6.05662,8.53565,12.4531,13.2904,13.0813,13.6964,16.8748,13.7677,11.463,9.22422,7.80968,10.8879,15.3504,18.5618,20.7352,23.7538,27.581,30.9969,32.6438,33.0242,33.3916,34.9141,38.3362,39.8916,39.2042,40.6684,45.8717,53.2655,60.3862,64.819,65.7264,67.8274,67.6904,64.3043,55.8886,53.186,47.6563,43.9553,43.7288,44.3772,47.6925,50.565,51.9819
5.40366,3.67815,2.79809,3.57927,4.32592,13.974,11.6023,5.5362,4.05438,6.20414,9.66912,12.2785,11.9678,11.3729,11.9637,15.2106,11.9899,9.41529,6.76345,5.78159,9.53803,14.9285,19.1405,21.6701,24.6283,28.4683,31.6156,32.7484,32.6528,32.4971,33.7334,37.7094,40.4292,39.9435,41.2055,46.762,54.8622,63.0567,68.2469,69.5919,72.1231,72.2341,69.142,60.1654,56.6872,50.8215,47.2387,46.6308,46.7974,50.7057,54.2717,55.77
7.81909,6.1398,4.9476,4.95224,5.10866,15.0967,14.9469,9.06615,6.94983,7.39845,9.74083,12.907,13.7599,13.8598,14.45,17.6716,16.0399,14.5867,12.1052,10.4694,13.9285,18.5324,21.9759,24.0299,26.4976,30.048,33.4491,35.7144,37.2835,38.4061,40.4996,44.392,46.2202,45.5495,46.9641,52.4068,59.7398,66.6861,71.2108,72.7763,75.5521,74.6924,70.9473,63.5547,61.1783,55.586,52.305,50.847,50.0587,53.8905,58.0391,59.5064
8.19251,6.8605,5.81878,5.83686,5.26278,11.8708,10.2246,5.78833,5.07731,7.18526,11.13,15.4886,17.2933,17.8675,18.1037,20.0112,15.3478,12.2493,9.27571,8.2068,12.8661,19.3096,24.94,28.9561,32.8512,36.976,39.8317,40.4142,40.3592,40.3194,41.7677,45.9068,48.0852,48.4985,51.3795,57.501,64.8579,71.4362,75.9155,77.4149,79.6043,77.6444,73.1078,65.359,62.8537,57.7047,54.96,53.5405,52.3194,55.4,58.6101,60.0855
7.24912,5.64473,4.33233,3.76781,3.77333,11.774,9.93217,5.08658,4.005,5.92337,9.64104,13.6495,14.7147,14.2964,14.336,17.2046,13.6569,10.9045,8.03485,6.83853,11.0019,17.1435,22.5033,26.1173,29.2967,32.9094,36.1562,37.2078,37.1593,36.9671,38.3702,42.5971,44.6928,44.7266,47.2086,52.4991,59.1482,65.1907,69.2549,70.7606,72.657,71.5158,68.5169,62.1559,60.0103,54.9854,51.6062,49.2534,47.899,50.4889,53.2036,54.5492
10.8923,9.15898,7.41843,6.27147,5.43772,14.2682,12.8691,7.39508,5.78384,7.02366,10.9757,15.8756,17.9004,18.1488,18.0089,20.5748,18.1005,15.8513,12.7976,10.8113,14.298,19.7469,24.8615,28.2179,31.267,34.7554,37.7724,39.0684,39.8633,40.5057,41.8204,45.526,47.0059,46.6003,48.8354,53.5731,59.9712,66.1704,70.1636,71.2886,72.3738,70.7044,67.8272,61.8199,60.0311,54.9662,51.4325,49.7591,49.3393,52.4241,55.7959,57.1391
