rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013
31.8062,22.6356,20.9519,27.0091,24.5387,16.2888,31.8457,42.2231,41.6499,44.1511,52.4631,54.7626,54.4495,56.0078,57.2225,33.8302,28.3939,29.4021,33.9742,48.4097,61.7735,67.4295,72.7937,71.1452,79.4028,82.6544,80.4044,77.8707,80.2892,84.1817,90.8432,85.2165,92.7136,93.442,93.1236,103.129,106.826,99.7245,106.178,99.9446,98.8783,99.98,106.423,96.0097,100.932,92.2944,90.6903,88.9172,91.159
31.8062,22.6356,20.9519,27.0091,24.5387,16.2888,31.8457,42.2231,41.6499,44.1511,52.4631,54.7626,54.4495,56.0078,57.2225,33.8302,28.3939,29.4021,33.9742,48.4097,61.7735,67.4295,72.7937,71.1452,79.4028,82.6544,80.4044,77.8707,80.2892,84.1817,90.8432,85.2165,92.7136,93.442,93.1236,103.129,106.826,99.7245,106.178,99.9446,98.8783,99.98,106.423,96.0097,100.932,92.2944,90.6903,88.9172,91.159
30.9402,23.1143,21.3586,26.8758,24.4883,16.261,32.7471,42.5875,42.4436,45.2519,53.5535,54.7745,54.7397,56.132,57.5283,33.7002,28.6156,30.2603,34.9457,49.3909,62.9877,68.5718,73.4068,70.9695,80.0202,83.7144,79.8052,78.9839,81.7887,85.2222,91.1976,85.3667,93.2978,94.1357,94.2407,103.736,107.74,99.8036,105.819,99.5433,99.4133,99.87,107.022,97.3092,101.732,91.7539,90.4414,89.6491,90.9475
27.3193,20.0385,18.1785,23.7056,22.0723,14.3093,31.0485,40.687,40.3037,41.7131,48.1938,50.3473,47.7259,50.5611,51.4273,27.7162,22.5082,24.2772,28.7799,41.9339,54.9898,61.8031,65.8818,64.4353,74.1647,77.2534,72.4176,71.9894,74.727,79.2189,84.7062,80.4325,86.8045,88.5985,89.829,103.557,105.573,95.9634,104.536,98.902,98.3241,100.656,106.466,97.2852,100.292,92.1799,91.3551,90.8105,92.4489
27.5444,19.5353,17.016,22.4657,21.167,13.3697,28.548,38.4905,37.3665,37.9865,44.6089,47.0609,44.5716,47.9495,49.4968,26.31,21.2695,22.8028,26.9627,37.9722,51.9443,56.5603,60.0013,59.185,67.7473,71.0423,67.9099,67.2289,69.59,73.6147,77.7312,73.4489,78.8121,81.8961,79.768,92.0888,96.2745,88.1836,92.7958,89.2565,87.3636,89.3294,94.0112,88.2241,88.4772,82.3927,80.7561,80.3384,80.3573
25.8282,18.4984,16.0532,21.2811,19.8303,11.9466,25.0897,34.3436,33.6148,34.47,41.4623,44.6743,41.952,45.101,45.8222,23.4381,18.4931,19.8854,23.3483,33.7617,48.6286,51.4485,56.1424,55.7545,63.8603,66.4834,63.6983,61.4405,63.8779,66.7514,72.451,69.3811,74.2218,76.0074,74.7116,87.3597,91.0392,81.7008,86.5815,83.1147,80.8288,83.5035,87.4652,82.5824,82.7406,77.2331,76.0609,73.9721,75.5936
29.7125,21.1384,18.0746,21.8806,19.5046,11.5245,23.3147,32.7139,32.5809,35.4685,43.1184,47.7427,44.9359,48.4281,48.4374,24.2339,18.6835,19.5234,22.8317,34.2331,49.8437,53.0248,57.8815,57.715,65.9617,68.0922,66.0094,63.8249,65.4258,68.185,73.206,69.6396,76.2769,78.1946,75.3254,89.335,93.2047,83.2554,88.4559,85.5061,83.0156,84.4358,89.5538,83.0951,82.6219,78.5448,77.5568,75.5836,76.973
29.332,20.558,17.59,21.3046,19.1903,11.3355,23.8911,33.8273,33.4666,35.6747,43.8894,47.983,45.0131,47.4693,48.1002,23.6014,18.3223,19.4591,22.918,33.9696,50.6572,53.3665,58.6384,58.2619,66.2295,69.4812,66.8955,64.8576,65.3649,68.9149,73.8225,70.2146,77.023,79.3286,76.5697,90.9691,94.5832,85.4735,89.813,87.0663,84.0122,85.9455,90.3591,84.0866,83.4283,80.2614,78.037,76.7129,77.4853
27.2676,17.4782,14.5083,20.4609,18.4765,10.0917,20.8157,28.8146,28.4869,31.8038,40.0383,43.9821,41.5882,44.2932,45.198,20.7467,16.0092,16.4267,19.5618,30.0405,45.7791,48.0012,52.3482,52.8881,61.5397,61.6421,61.956,59.7683,58.8854,61.9393,65.4548,63.3092,69.328,70.9552,68.5671,80.3449,83.1416,75.3131,79.2752,77.3396,73.8583,74.3759,78.9927,74.291,75.5714,72.7935,68.3499,68.2333,68.0128
23.9904,14.3616,11.6366,20.927,20.2619,11.0788,20.9202,29.6614,28.0727,29.4152,35.0322,40.1104,37.6092,41.3204,42.925,20.4346,15.9069,16.0237,18.5034,29.4497,42.5107,46.1271,50.0191,48.5333,57.8797,56.8868,60.0838,56.6828,56.781,58.8764,61.8532,60.8044,67.3677,67.3942,65.5497,76.26,79.1645,73.675,77.0293,74.7148,68.427,70.9876,80.0955,70.9145,72.9746,69.405,63.827,65.3055,64.9575
