## ------------------------------------------------------------------------- ##
## TEMPLATE DATA FILE FOR iSCAM                                              ##
## TIPS: -use '#' as comment character for the data file                     ##
##       -use '#' on all blank lines (windows compatible)                    ##
##       -sex: 0=asexual, 1=female, 2=male                                   ##  
##                                                                           ##
##                                                                           ##
## TEMPLATE is based on Flack Lake Trout (ADMB catage example)               ##
## ------------------------------------------------------------------------- ##
##
##
##
## ------------------------------------------------------------------------- ##
## MODEL DIMENSIONS                                                          ##
## ------------------------------------------------------------------------- ##
1        # -number of areas            (narea)
1        # -number of groups or stocks (ngroup)
1        # -number of sexes            (nsex)
1956     # -first year of data         (syr)
2013     # -last year of data          (nyr)
1        # -age of youngest age class  (sage)
10       # -age of plus group          (nage)
4        # -number of gears            (ngear)
##
## ------------------------------------------------------------------------- ##
## Allocation for each gear in (ngear), use 0 for survey gears. 
## ------------------------------------------------------------------------- ##
1	0	0	0
##
##
## ------------------------------------------------------------------------- ##
##
## ------------------------------------------------------------------------- ##
## Age-schedule and population parameters                                    ##
## ------------------------------------------------------------------------- ##
## Need one value for each area and sex.
##
89.48   # -asymptotic length (linf)  
0.307   # -brody growth coefficient (k)
-0.116  		# -theoretical age at zero length (to)
7.38e-6  # -scaler in length-weight allometry
3.0963       # -power parameter in length-weight allometry
1.5    		# -age at 50% maturity (approx with log(3.0)/k)
0.0001      	# -std at 50% maturity (CV ~ 0.1)
0                       # -(if n_MAT==1) use the following vector for maturity
0           		#mat vec
##
## ------------------------------------------------------------------------- ##
## TIME SERIES DATA                                                          ##
## ------------------------------------------------------------------------- ##
## Observed catch from all gears, areas, and sex                             ##
## sex: 1=female, 2=male, 0=asexual
## Type of catch: legend                                                     ##
##               1 = catch in weight                                         ##
##               2 = catch in numbers                                        ##
##               3 = catch in spawn (roe)                                    ##
## 
## n_ct_obs
58
## Year gear	area	group	sex	type	value
1956	1	1	1	0	1	2018.0	
1957	1	1	1	0	1	3258.0	
1958	1	1	1	0	1	5702.0	
1959	1	1	1	0	1	3515.0	
1960	1	1	1	0	1	2391.0	
1961	1	1	1	0	1	1528.0	
1962	1	1	1	0	1	2059.0	
1963	1	1	1	0	1	2756.0	
1964	1	1	1	0	1	6410.0	
1965	1	1	1	0	1	8870.0	
1966	1	1	1	0	1	9156.0	
1967	1	1	1	0	1	5916.0	
1968	1	1	1	0	1	4053.0	
1969	1	1	1	0	1	2578.0	
1970	1	1	1	0	1	1188.0	
1971	1	1	1	0	1	1333.0	
1972	1	1	1	0	1	2894.0	
1973	1	1	1	0	1	3833.0	
1974	1	1	1	0	1	5373.0	
1975	1	1	1	0	1	5509.0	
1976	1	1	1	0	1	4212.0	
1977	1	1	1	0	1	3588.0	
1978	1	1	1	0	1	2400.0	
1979	1	1	1	0	1	5736.0	
1980	1	1	1	0	1	4282.0	
1981	1	1	1	0	1	2680.0	
1982	1	1	1	0	1	2526.0	
1983	1	1	1	0	1	2362.0	
1984	1	1	1	0	1	1725.0	
1985	1	1	1	0	1	1053.0	
1986	1	1	1	0	1	3818.0	
1987	1	1	1	0	1	9542.0	
1988	1	1	1	0	1	6177.0	
1989	1	1	1	0	1	3462.0	
1990	1	1	1	0	1	3601.0	
1991	1	1	1	0	1	7747.0	
1992	1	1	1	0	1	5258.0	
1993	1	1	1	0	1	3381.0	
1994	1	1	1	0	1	1169.0	
1995	1	1	1	0	1	1014.0	
1996	1	1	1	0	1	1145.0	
1997	1	1	1	0	1	1194.0	
1998	1	1	1	0	1	876.0	
1999	1	1	1	0	1	616.0	
2000	1	1	1	0	1	514.0	
2001	1	1	1	0	1	214.0	
2002	1	1	1	0	1	271.0	
2003	1	1	1	0	1	458.0	
2004	1	1	1	0	1	557.0	
2005	1	1	1	0	1	739.0	
2006	1	1	1	0	1	684.0	
2007	1	1	1	0	1	302.0	
2008	1	1	1	0	1	278.0	
2009	1	1	1	0	1	551.0	
2010	1	1	1	0	1	1004.0	
