rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013
35.2359,26.4593,19.6042,19.8665,13.9276,13.6315,45.3801,48.6098,43.9475,45.365,53.087,61.98,61.6963,59.5993,57.7155,54.1305,35.1036,32.6226,33.2817,36.6002,54.4216,70.4728,76.665,82.6504,80.2591,88.451,91.1451,88.1609,84.7218,86.4556,90.033,96.982,90.9937,99.3199,100.016,99.2664,109.477,112.906,104.976,111.542,104.661,103.495,104.714,111.671,100.24,105.207,95.932,94.108,91.83,94.2189
35.2359,26.4593,19.6042,19.8665,13.9276,13.6315,45.3801,48.6098,43.9475,45.365,53.087,61.98,61.6963,59.5993,57.7155,54.1305,35.1036,32.6226,33.2817,36.6002,54.4216,70.4728,76.665,82.6504,80.2591,88.451,91.1451,88.1609,84.7218,86.4556,90.033,96.982,90.9937,99.3199,100.016,99.2664,109.477,112.906,104.976,111.542,104.661,103.495,104.714,111.671,100.24,105.207,95.932,94.108,91.83,94.2189
35.2359,26.4593,19.6042,19.8665,13.9276,13.6315,45.3801,48.6098,43.9475,45.365,53.087,61.98,61.6963,59.5993,57.7155,54.1305,35.1036,32.6226,33.2817,36.6002,54.4216,70.4728,76.665,82.6504,80.2591,88.451,91.1451,88.1609,84.7218,86.4556,90.033,96.982,90.9937,99.3199,100.016,99.2664,109.477,112.906,104.976,111.542,104.661,103.495,104.714,111.671,100.24,105.207,95.932,94.108,91.83,94.2189
35.2359,26.4593,19.6042,19.8665,13.9276,13.6315,45.3801,48.6098,43.9475,45.365,53.087,61.98,61.6963,59.5993,57.7155,54.1305,35.1036,32.6226,33.2817,36.6002,54.4216,70.4728,76.665,82.6504,80.2591,88.451,91.1451,88.1609,84.7218,86.4556,90.033,96.982,90.9937,99.3199,100.016,99.2664,109.477,112.906,104.976,111.542,104.661,103.495,104.714,111.671,100.24,105.207,95.932,94.108,91.83,94.2189
35.2359,26.4593,19.6042,19.8665,13.9276,13.6315,45.3801,48.6098,43.9475,45.365,53.087,61.98,61.6963,59.5993,57.7155,54.1305,35.1036,32.6226,33.2817,36.6002,54.4216,70.4728,76.665,82.6504,80.2591,88.451,91.1451,88.1609,84.7218,86.4556,90.033,96.982,90.9937,99.3199,100.016,99.2664,109.477,112.906,104.976,111.542,104.661,103.495,104.714,111.671,100.24,105.207,95.932,94.108,91.83,94.2189
35.2359,26.4593,19.6042,19.8665,13.9276,13.6315,45.3801,48.6098,43.9475,45.365,53.087,61.98,61.6963,59.5993,57.7155,54.1305,35.1036,32.6226,33.2817,36.6002,54.4216,70.4728,76.665,82.6504,80.2591,88.451,91.1451,88.1609,84.7218,86.4556,90.033,96.982,90.9937,99.3199,100.016,99.2664,109.477,112.906,104.976,111.542,104.661,103.495,104.714,111.671,100.24,105.207,95.932,94.108,91.83,94.2189
35.2359,26.4593,19.6042,19.8665,13.9276,13.6315,45.3801,48.6098,43.9475,45.365,53.087,61.98,61.6963,59.5993,57.7155,54.1305,35.1036,32.6226,33.2817,36.6002,54.4216,70.4728,76.665,82.6504,80.2591,88.451,91.1451,88.1609,84.7218,86.4556,90.033,96.982,90.9937,99.3199,100.016,99.2664,109.477,112.906,104.976,111.542,104.661,103.495,104.714,111.671,100.24,105.207,95.932,94.108,91.83,94.2189
35.2359,26.4593,19.6042,19.8665,13.9276,13.6315,45.3801,48.6098,43.9475,45.365,53.087,61.98,61.6963,59.5993,57.7155,54.1305,35.1036,32.6226,33.2817,36.6002,54.4216,70.4728,76.665,82.6504,80.2591,88.451,91.1451,88.1609,84.7218,86.4556,90.033,96.982,90.9937,99.3199,100.016,99.2664,109.477,112.906,104.976,111.542,104.661,103.495,104.714,111.671,100.24,105.207,95.932,94.108,91.83,94.2189
35.2359,26.4593,19.6042,19.8665,13.9276,13.6315,45.3801,48.6098,43.9475,45.365,53.087,61.98,61.6963,59.5993,57.7155,54.1305,35.1036,32.6226,33.2817,36.6002,54.4216,70.4728,76.665,82.6504,80.2591,88.451,91.1451,88.1609,84.7218,86.4556,90.033,96.982,90.9937,99.3199,100.016,99.2664,109.477,112.906,104.976,111.542,104.661,103.495,104.714,111.671,100.24,105.207,95.932,94.108,91.83,94.2189
35.2359,26.4593,19.6042,19.8665,13.9276,13.6315,45.3801,48.6098,43.9475,45.365,53.087,61.98,61.6963,59.5993,57.7155,54.1305,35.1036,32.6226,33.2817,36.6002,54.4216,70.4728,76.665,82.6504,80.2591,88.451,91.1451,88.1609,84.7218,86.4556,90.033,96.982,90.9937,99.3199,100.016,99.2664,109.477,112.906,104.976,111.542,104.661,103.495,104.714,111.671,100.24,105.207,95.932,94.108,91.83,94.2189
