sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014
5.29007,3.64358,2.53272,2.57061,1.70935,1.66765,7.54212,8.37444,7.17906,7.51602,9.65266,12.7535,12.7465,12.0214,11.3244,10.0739,5.25589,4.74144,4.88291,5.55377,9.88099,15.583,19.3456,22.029,25.6252,28.7097,29.7066,28.4992,27.58,28.0275,30.4951,35.5949,38.5989,38.1166,40.6922,46.6843,53.1442,59.1418,63.0391,64.2599,65.3075,62.5518,59.3229,51.7038,48.3102,42.2674,37.7555,33.378,31.5623,34.9452,38.9437,40.473
5.29007,3.64358,2.53272,2.57061,1.70935,1.66765,7.54212,8.37444,7.17906,7.51602,9.65266,12.7535,12.7465,12.0214,11.3244,10.0739,5.25589,4.74144,4.88291,5.55377,9.88099,15.583,19.3456,22.029,25.6252,28.7097,29.7066,28.4992,27.58,28.0275,30.4951,35.5949,38.5989,38.1166,40.6922,46.6843,53.1442,59.1418,63.0391,64.2599,65.3075,62.5518,59.3229,51.7038,48.3102,42.2674,37.7555,33.378,31.5623,34.9452,38.9437,40.473
5.29007,3.64358,2.53272,2.57061,1.70935,1.66765,7.54212,8.37444,7.17906,7.51602,9.65266,12.7535,12.7465,12.0214,11.3244,10.0739,5.25589,4.74144,4.88291,5.55377,9.88099,15.583,19.3456,22.029,25.6252,28.7097,29.7066,28.4992,27.58,28.0275,30.4951,35.5949,38.5989,38.1166,40.6922,46.6843,53.1442,59.1418,63.0391,64.2599,65.3075,62.5518,59.3229,51.7038,48.3102,42.2674,37.7555,33.378,31.5623,34.9452,38.9437,40.473
5.29007,3.64358,2.53272,2.57061,1.70935,1.66765,7.54212,8.37444,7.17906,7.51602,9.65266,12.7535,12.7465,12.0214,11.3244,10.0739,5.25589,4.74144,4.88291,5.55377,9.88099,15.583,19.3456,22.029,25.6252,28.7097,29.7066,28.4992,27.58,28.0275,30.4951,35.5949,38.5989,38.1166,40.6922,46.6843,53.1442,59.1418,63.0391,64.2599,65.3075,62.5518,59.3229,51.7038,48.3102,42.2674,37.7555,33.378,31.5623,34.9452,38.9437,40.473
5.29007,3.64358,2.53272,2.57061,1.70935,1.66765,7.54212,8.37444,7.17906,7.51602,9.65266,12.7535,12.7465,12.0214,11.3244,10.0739,5.25589,4.74144,4.88291,5.55377,9.88099,15.583,19.3456,22.029,25.6252,28.7097,29.7066,28.4992,27.58,28.0275,30.4951,35.5949,38.5989,38.1166,40.6922,46.6843,53.1442,59.1418,63.0391,64.2599,65.3075,62.5518,59.3229,51.7038,48.3102,42.2674,37.7555,33.378,31.5623,34.9452,38.9437,40.473
5.29007,3.64358,2.53272,2.57061,1.70935,1.66765,7.54212,8.37444,7.17906,7.51602,9.65266,12.7535,12.7465,12.0214,11.3244,10.0739,5.25589,4.74144,4.88291,5.55377,9.88099,15.583,19.3456,22.029,25.6252,28.7097,29.7066,28.4992,27.58,28.0275,30.4951,35.5949,38.5989,38.1166,40.6922,46.6843,53.1442,59.1418,63.0391,64.2599,65.3075,62.5518,59.3229,51.7038,48.3102,42.2674,37.7555,33.378,31.5623,34.9452,38.9437,40.473
5.29007,3.64358,2.53272,2.57061,1.70935,1.66765,7.54212,8.37444,7.17906,7.51602,9.65266,12.7535,12.7465,12.0214,11.3244,10.0739,5.25589,4.74144,4.88291,5.55377,9.88099,15.583,19.3456,22.029,25.6252,28.7097,29.7066,28.4992,27.58,28.0275,30.4951,35.5949,38.5989,38.1166,40.6922,46.6843,53.1442,59.1418,63.0391,64.2599,65.3075,62.5518,59.3229,51.7038,48.3102,42.2674,37.7555,33.378,31.5623,34.9452,38.9437,40.473
5.29007,3.64358,2.53272,2.57061,1.70935,1.66765,7.54212,8.37444,7.17906,7.51602,9.65266,12.7535,12.7465,12.0214,11.3244,10.0739,5.25589,4.74144,4.88291,5.55377,9.88099,15.583,19.3456,22.029,25.6252,28.7097,29.7066,28.4992,27.58,28.0275,30.4951,35.5949,38.5989,38.1166,40.6922,46.6843,53.1442,59.1418,63.0391,64.2599,65.3075,62.5518,59.3229,51.7038,48.3102,42.2674,37.7555,33.378,31.5623,34.9452,38.9437,40.473
5.29007,3.64358,2.53272,2.57061,1.70935,1.66765,7.54212,8.37444,7.17906,7.51602,9.65266,12.7535,12.7465,12.0214,11.3244,10.0739,5.25589,4.74144,4.88291,5.55377,9.88099,15.583,19.3456,22.029,25.6252,28.7097,29.7066,28.4992,27.58,28.0275,30.4951,35.5949,38.5989,38.1166,40.6922,46.6843,53.1442,59.1418,63.0391,64.2599,65.3075,62.5518,59.3229,51.7038,48.3102,42.2674,37.7555,33.378,31.5623,34.9452,38.9437,40.473
5.29007,3.64358,2.53272,2.57061,1.70935,1.66765,7.54212,8.37444,7.17906,7.51602,9.65266,12.7535,12.7465,12.0214,11.3244,10.0739,5.25589,4.74144,4.88291,5.55377,9.88099,15.583,19.3456,22.029,25.6252,28.7097,29.7066,28.4992,27.58,28.0275,30.4951,35.5949,38.5989,38.1166,40.6922,46.6843,53.1442,59.1418,63.0391,64.2599,65.3075,62.5518,59.3229,51.7038,48.3102,42.2674,37.7555,33.378,31.5623,34.9452,38.9437,40.473
5.29007,3.64358,2.53272,2.57061,1.70935,1.66765,7.54212,8.37444,7.17906,7.51602,9.65266,12.7535,12.7465,12.0214,11.3244,10.0739,5.25589,4.74144,4.88291,5.55377,9.88099,15.583,19.3456,22.029,25.6252,28.7097,29.7066,28.4992,27.58,28.0275,30.4951,35.5949,38.5989,38.1166,40.6922,46.6843,53.1442,59.1418,63.0391,64.2599,65.3075,62.5518,59.3229,51.7038,48.3102,42.2674,37.7555,33.378,31.5623,34.9452,38.9437,40.473
5.29007,3.64358,2.53272,2.57061,1.70935,1.66765,7.54212,8.37444,7.17906,7.51602,9.65266,12.7535,12.7465,12.0214,11.3244,10.0739,5.25589,4.74144,4.88291,5.55377,9.88099,15.583,19.3456,22.029,25.6252,28.7097,29.7066,28.4992,27.58,28.0275,30.4951,35.5949,38.5989,38.1166,40.6922,46.6843,53.1442,59.1418,63.0391,64.2599,65.3075,62.5518,59.3229,51.7038,48.3102,42.2674,37.7555,33.378,31.5623,34.9452,38.9437,40.473
5.29007,3.64358,2.53272,2.57061,1.70935,1.66765,7.54212,8.37444,7.17906,7.51602,9.65266,12.7535,12.7465,12.0214,11.3244,10.0739,5.25589,4.74144,4.88291,5.55377,9.88099,15.583,19.3456,22.029,25.6252,28.7097,29.7066,28.4992,27.58,28.0275,30.4951,35.5949,38.5989,38.1166,40.6922,46.6843,53.1442,59.1418,63.0391,64.2599,65.3075,62.5518,59.3229,51.7038,48.3102,42.2674,37.7555,33.378,31.5623,34.9452,38.9437,40.473
