rt1_1928,rt1_1929,rt1_1930,rt1_1931,rt1_1932,rt1_1933,rt1_1934,rt1_1935,rt1_1936,rt1_1937,rt1_1938,rt1_1939,rt1_1940,rt1_1941,rt1_1942,rt1_1943,rt1_1944,rt1_1945,rt1_1946,rt1_1947,rt1_1948,rt1_1949,rt1_1950,rt1_1951,rt1_1952,rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002
1876.08,1980.79,2057.51,2101.51,2107.19,2087.81,2065.58,2035.75,1978.75,1890.71,1829.67,1805.24,1775.49,1764.45,1767.39,1766.88,1756.22,1647.88,1475.19,1342.83,1249.55,1188.41,1153.7,1139.48,1150.92,1147.54,1143.99,1129.94,1108.39,1076.4,1010.96,942.37,867.971,801.012,765.741,750.011,759.34,744.467,676.134,580.319,540.459,542.815,575.01,527.368,481.764,486.316,505.371,518.492,475.349,445.922,449.157,438.811,397.227,385.852,360.135,316.463,291.139,297.438,279.584,267.796,239.095,210.347,172.042,151.754,168.163,203.536,254.264,318.883,343.02,374.811,437.704,534.481,617.183,710.689,823.519
1815,2043.26,2101.65,2230.41,2188.54,2073.11,2168.39,1981.82,2046.53,1821.88,2016.55,1901.7,1756.66,1758.33,1670.41,1775.02,1735.49,1803.51,1641.91,1492.03,1365.05,1127.97,1056.36,1009.32,1100.49,1151.51,1110.76,1175.32,1139.52,984.18,944.902,895.57,801.11,809.674,775.452,691.89,728.897,731.201,667.149,600.69,511.15,548.886,587.663,510.433,443.744,489.842,508.695,531.699,439.759,436.081,435.658,462.961,377.027,397.183,353.485,300.739,289.564,299.586,264.779,245.593,224.15,200.782,173.851,148.164,157.686,195.806,242.101,294.083,323.594,361.087,428.748,513.174,624.715,643.595,811.615
1823.71,2013.53,1982.3,2306.06,2265.3,2035.91,2024.75,1890.95,1976.59,1674.61,1911.11,1875.15,1768.37,1630.18,1663.11,1647.45,1683.52,1733.02,1465.55,1391.61,1393.65,1106.43,1069.6,1000.68,1047.69,1072.97,1037.39,1010.77,1025.66,947.862,967.456,902.729,856.525,721.668,719.616,689.646,682.314,699.456,585.8,571.342,535.765,567.804,585.818,548.667,435.634,488.55,523.39,539.083,445.375,455.36,444.448,496.288,400.65,396.012,355.256,320.653,283.567,300.864,267.68,253.833,232.549,210.339,172.729,160.573,167.723,187.787,254.66,297.797,337.809,361.013,440.835,520.142,613.743,632.088,784.994
1856.83,2117.29,2063.22,2259.07,2321.76,1970.95,2016.45,1903.42,1960.82,1670,1949.02,1715.73,1755.73,1586.76,1580.19,1772.19,1716.91,1780.52,1508.9,1401.16,1457.04,1100.33,1043.01,1013.78,1059.98,1014.51,970.259,922.434,993.104,921.027,947.065,907.234,985.239,726.947,644.541,612.915,653.037,652.533,549.301,576.502,516.63,578.058,591.797,556.016,463.212,526.609,570.329,573.543,441.441,475.151,477.988,522.332,405.96,391.113,367.83,335.57,292.662,315.125,269.7,252.069,241.652,221.396,185.791,164.675,161.522,194.96,260.449,300.333,351.981,365.122,461.613,513.605,612.961,653.473,788.334
1736.17,2134.96,2067.79,2225.02,2131.57,1839.09,2101.53,2046.24,2028.28,1628.13,1973.48,1729.26,1680.83,1489.53,1510.4,1671.35,1613.01,1632.1,1421.31,1482.96,1482.04,998.036,909.752,877.516,970.129,897.3,1007.41,992.053,1121.65,1095.82,997.822,960.548,1149.53,658.425,583.536,594.897,726.554,764.44,624.143,588.582,477.351,558.384,572.129,541.607,442.356,510.302,516.321,540.256,403.115,458.163,480.166,533.649,393.341,389.037,351.712,328.811,296.295,330.062,272.779,236.88,247.836,230.591,180.589,161.61,167.53,197.769,243.143,315.525,343.552,367.17,465.643,496.017,630.349,664.133,820.355
1845.63,2205.28,2084.43,2183.85,2315.17,1835.2,2029.89,2169.87,2097.97,1703.39,2141.95,1737.07,1648.5,1596.44,1565.04,1833.54,1767.56,1685.04,1613.57,1534.04,1663.57,1007.39,901.948,821.275,891.229,759.914,888.262,999.154,1026,1054.29,946.198,969.16,1067.38,682.515,555.427,568.252,718.341,794.119,653.176,561.678,444.065,531.837,564.585,530.992,425.524,466.534,505.4,514.209,366.105,447.88,489.528,490.864,369.073,361.221,348.657,309.872,276.674,316.177,249.903,235.665,238.683,207.254,177.786,147.221,150.424,180.149,225.015,295.306,333.106,333.185,419.509,459.638,601.085,609.113,780.155
1958.66,2460.41,2191.5,2037.31,2390.64,1957.34,2106.12,2332.63,2159.43,1714.97,2088.84,1758.5,1644.41,1637.82,1650.3,1880.9,1862.11,1741.51,1657.78,1573.61,1707.9,1131.27,1054.16,930.017,929.458,806.017,927.518,1123.4,1141.89,1047.72,896.423,895.448,964.009,673.52,549.72,556.202,776.421,890.611,724.215,617.701,458.421,543.432,545.077,532.17,429.073,437.483,517.021,536.647,377.208,430.798,468.825,485.443,368.302,362.674,351.502,290.819,281.396,322.464,267.266,232.281,232.813,201.449,178.017,151.019,156.418,186.07,221.225,295.56,343.075,335.532,428.105,441.505,616.778,577.425,791.745
1958.66,2460.41,2191.5,2037.31,2390.64,1957.34,2106.12,2332.63,2159.43,1714.97,2088.84,1758.5,1644.41,1637.82,1650.3,1880.9,1862.11,1741.51,1657.78,1573.61,1707.9,1131.27,1054.16,930.017,929.458,806.017,927.518,1123.4,1141.89,1047.72,896.423,895.448,964.009,673.52,549.72,556.202,776.421,890.611,724.215,617.701,458.421,543.432,545.077,532.17,429.073,437.483,517.021,536.647,377.208,430.798,468.825,485.443,368.302,362.674,351.502,290.819,281.396,322.464,267.266,232.281,232.813,201.449,178.017,151.019,156.418,186.07,221.225,295.56,343.075,335.532,428.105,441.505,616.778,577.425,791.745
1957.64,2382.17,2194.29,1962.01,2295.86,1898.31,2096.63,2271.52,2169.73,1681.45,2097.49,1739.2,1576.99,1544.28,1540.57,1867.4,1730.91,1690.13,1533.68,1406.15,1567.85,1116.13,1119.39,1029.92,972.186,834.747,984.739,1119.4,1160.17,1112.91,970.752,961.373,986.059,690.079,569.727,589.752,814.932,938.947,799.889,723.441,482.561,600.067,620.791,575.145,463.422,459.569,558.23,548.822,383.593,490.051,507.707,533.329,395.324,376.535,363.574,305.91,297.226,336.153,270.395,242.769,250.5,210.656,192.802,159.222,162.145,196.481,239.982,314.397,377.35,353.428,436.297,465.317,636.307,636.775,848.852
1824.27,2251.36,2036.87,1831.53,2146.57,1721.11,1913.2,2102.92,1867.97,1558.5,1944.47,1592.04,1423.3,1440.99,1525.62,1813.74,1592.21,1578.02,1472.21,1434.65,1824.14,1196.62,1078.53,980.704,894.8,808.472,1011.67,1043.52,1003.48,1027.1,888.856,943.431,1018.12,707.395,614.232,586.045,884.509,874.604,752.369,703.762,486.922,575.733,608.478,549.485,434.249,415.516,528.53,521.219,344.833,455.763,475.566,528.953,354.04,343.184,324.528,283.938,275.201,305.904,238.665,233.898,229.262,202.142,181.677,150.122,140.104,177.693,211.385,279.702,339.446,320.829,397.948,384.806,604.699,583.804,778.425
