rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013
19595.9,3248.53,2200.16,1017.86,5939.68,13865.8,15728,6845.01,21582.2,1798.24,1456.95,3820.01,1498.82,2344.09,16521.7,11380.1,5178.84,3408.75,3199.36,6844.27,5072.53,9571.26,4665.06,8979.58,6181.12,2337.93,1050.53,773.374,25467.9,5988.33,5627.56,4202.29,5732.24,3323.67,14549.5,2883.76,2119.31,3521.12,3728.82,969.79,665.261,239.648,668.627,5283.71,868.737,420.817,572.205,516.03,112.532,375.506,4345.38,2157.45,1481.7,949.566,2186.46,2771.69,927.549
21923.5,2569.82,872.461,2111.66,5117.05,12783.5,24061.1,1923.07,20070.6,2596.6,1659.35,3146.62,1892.13,3847.7,13503.1,14479.9,5250.46,2212.72,2229.2,7857.59,5690.04,10568.9,3863.73,5383.74,8189.53,3221.54,533.77,1316.95,22587.7,8898.84,6170.07,3993.6,3610.74,5707.34,14770.5,2830.11,2379.14,2157.16,4710.83,1494.44,701.025,456.11,297.859,5421.63,2024.97,691.259,764.378,338.408,55.4826,310.632,4675.21,2558.32,1317.23,1538.84,1906.31,4233.89,671.971
21685.6,3873.71,1438.69,894.982,9990.94,12954.2,20716.5,2964.78,16941.9,3245.78,2082.3,2910.32,1225.73,2790.04,15453.8,10675.7,7513.74,3187.21,3038.74,9019.37,4176.39,10447.3,4109.56,3823.92,9993.08,2991.32,533.887,925.831,24319.6,5898.97,8249.87,3063.67,2946.29,7446.96,15443.2,1996.6,2482.22,1934.07,5485.42,2015.44,488.749,252.586,361.85,5705.76,1357.48,670.301,196.897,484.234,60.7071,488.698,4872.92,2950.13,949.63,950.039,2937.56,5230.51,2334.06
18660.5,3415.28,2072.42,1486.2,9246.17,11845.3,25056.5,3080.58,16383.2,1945.08,2664.2,3036.27,682.571,3748.68,13192.3,13815.7,6162.16,3514.13,2957.5,7456.54,5058.44,11313.8,3226.64,5173.74,8771.53,2206.62,384.171,885.369,24809.7,8764.22,7778,3005.35,3061.19,4923.13,15259.5,2023.11,2375.79,2172.02,4448.22,2724.49,421.677,301.68,520.775,6377.03,985.449,296.425,209.365,371.413,53.4612,573.316,4616.94,3124.59,800.24,1200.05,2865.46,4121.06,3480.88
19419.8,2423.87,859.675,3599.31,6232.18,12636.5,25976.3,4962.4,13417.9,3045.04,2070.78,2888.64,792.13,2927.33,13171.2,14169.7,4845.09,3826.32,4559.12,6675.64,6484.73,10320.6,4209.33,3978.29,10091.8,1286.9,386.397,971.861,23800.4,10326.2,7355.63,2367.32,3888.82,5349.69,13429.4,4189.66,2063.29,2556.38,4211.96,2416.55,532.607,314.872,608.063,5645.69,1387.25,276.888,109.005,401.049,71.8627,353.972,4345.64,2005.1,1076.96,2075.72,1898.51,6080.22,2248.07
19521,3025.01,522.874,3856.45,4880.91,15230.9,25051.7,2713.06,18606.1,869.25,2639.52,3281.42,1012.59,2025.91,17475.9,10996,5610.85,3224.82,6154.13,7373.58,4055.64,8555.1,6697.37,3829.93,9856.25,1287.2,454.827,747.237,27991.3,6508.7,5884.75,4418.43,2496.2,5081.45,13015.3,4550.7,2860.13,1579.23,4315.31,1753.22,419.12,594.914,1073.57,5609.18,1527.45,411.965,96.4943,712.615,50.2313,358.419,4549.74,3232.54,984.606,2001.59,2916.25,3778.96,2554.06
18410.8,1925.08,1511.83,3763.36,4183.4,13887.6,26424.1,2895.35,18374.5,1154.3,1885.76,3373.32,1059.11,2369.95,15800.1,16015.9,3945.6,1893.87,5683.16,5946.27,5079.41,7759.91,8348.68,4325.42,9369.22,766.523,1046.31,621.728,29460.2,5101.5,6369.32,3391.64,2510.46,5726.77,12846.8,4567.48,3252.45,1373.97,5170.15,1690.24,428.437,558.472,839.007,6091.35,1261.99,706.658,62.7272,814.32,47.2393,306.744,8250.52,1584.75,1373.37,1692.78,2067.72,5357.32,3327.47
18850.3,1426.55,2882.19,4375.59,3962.46,13308,25690.7,3541.56,18669.1,1005.05,2216.73,2830.02,1348.08,1661.16,16411.8,15329.2,4571,1912.92,3370.92,7294.95,5404.58,7914.59,6727.45,6114.2,7811.34,759.005,1097.84,764.708,27115.1,7636.57,5139.12,2349.33,7623.07,2571.4,12415.6,5146.3,3264.13,1740.61,4572.06,1301.95,656.186,284.187,1247.44,5746.47,987.979,1089.21,77.3244,741.03,38.9217,391.112,5180.73,2919.76,1399.13,1475.21,2188.5,5347.79,2363.53
17636.2,1608.58,1846.11,4974.87,4466.41,12163.7,24141.1,6520.79,13127.2,6143.23,836.44,3500.29,577.292,1640.3,18133.7,13520.3,3733.18,2178.57,3776.64,7355.74,6112.36,9232.99,4171.7,9097.76,5632.18,1086.03,850.628,723.169,30095.2,6064.65,5057.97,2453.97,4980.62,3418.03,11785.1,6528.1,3226.2,2452.91,3563.43,1531.08,460.883,404.177,1182.36,6363.47,693.511,382.416,72.4355,861.549,73.7453,295.359,3960.73,2969.15,2442.2,1337.96,2382.89,4257.2,1517.7
16827.9,2403.38,1351.87,5186.94,4835.57,12829.3,23707.6,7920.36,11521.5,5444.67,874.783,3971.53,761.476,1590.83,17439.6,15808.6,2657.27,2224.98,3328.86,7585.4,6830.19,9558,3735.12,7677.58,7016.31,861.647,633.752,743.25,29948.3,5869.84,4812.38,2902.53,5188.15,3066.78,11983.9,5772.71,3188.31,2531.55,3774.64,1304.45,575.56,334.562,1079.42,5955.46,975.394,419.64,73.2583,904.988,73.488,276.014,3903.23,3080.03,2290.13,1566.86,2737.58,3580.16,1205.23
