rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013
5522.81,5670.72,2825.63,6216.49,8833.62,15907.4,18283.8,5127.97,2927.3,6042.13,2525.28,3647.53,1580.65,1982.98,20396.4,7757.79,7502.15,2449.55,7103.59,4818.8,5792.9,6262.11,1738.43,5136.68,2259.51,2738.56,3318.19,1592.38,24908.4,14958.6,8358.56,1257.84,4112.11,2798.07,4525.5,2813.39,2870.49,1085.67,1188.02,605.772,1212.01,1903.11,800.784,762.513,3035.42,2244.49,538.856,792.548,1938.81,1533.45,2740.38,3034.27,1385.66,1939.27,2343.24,3249.89
5559.39,5060.97,2307.12,7896.55,4954.35,17870,7275.42,6470.7,5488.87,2926.67,2136.71,1590.28,2729.67,897.845,24659,3745.07,5328.1,2760.67,2332.78,5647.05,7281.15,5247.74,2278.49,3832.7,1793.31,2925.93,4896.81,1469.34,20665.3,13769.6,3123.43,2980.03,4228.41,1549.8,4435.51,3712.41,1212.62,1306.51,1031.63,585.283,671.552,1133.59,578.051,658.662,2205.64,1277.43,304.658,556.998,920.843,833.072,2822.01,2469.67,1188.37,1329.06,1164.11,5201.62
2338.86,4349.93,2361.92,6435.42,4177.71,17695.5,20617.5,2503.04,6704.4,3879.22,1859.63,1209.21,2130.86,4044.81,19614.1,6439.7,4519.2,2926.27,1875.72,9964.7,3704.27,5539.01,3706.47,4412.36,3280.68,2576.17,7630.55,1523.64,18108.9,15850.9,5376.77,3483.57,2460.72,5194.43,2780.69,3764.46,371.823,1530.97,1288.74,1649,933.97,700.238,515.713,924.662,1649.79,1680.56,453.423,1172.65,761.114,1461.19,1986.9,2488.92,2094.95,1918.68,853.538,3536.6
3231.65,4162.03,2981.46,4839.44,4074.49,14639.3,11935.7,5684.48,5400.07,6126.02,2396.24,1143.35,2877.84,1916.25,15039.9,5675.63,4309.23,3214.33,1682.46,6326.88,4012.75,4478.32,2787.99,5147.29,2772.02,2864.41,7543.55,1325.64,17679.5,9410.62,5942.62,2974.84,1582.42,7156.41,1567.52,1736.92,791.923,1727.3,1649.13,1390.14,705.043,748.249,559.822,754.972,1869.18,833.158,649.804,198.991,593.184,712.505,1251.16,2843.18,623.473,614.477,1115.38,3136.69
3058.01,3589.4,2398.35,3878.81,3999.1,17875.7,12306.3,3363.81,5568.04,5696.3,2236.57,1498.44,2880.45,2011.94,12355.1,5271.11,4867.48,4254.89,3871.8,6085.85,3871.87,5134.77,2742.19,5148.76,2873.89,1572.06,8044.17,1493.68,19462.7,8740.72,4423.14,5257.57,1689.31,1971.03,4131.53,3682.87,901.734,1479.89,2076.5,1071.59,1072.03,786.737,470.181,858.098,2120.33,1249.81,1104.37,273.91,958.2,966.472,1274.78,3188.71,2025.64,523.883,1139.32,1837.94
2828.95,3611.17,1954.53,2681.36,5195.24,19482.3,15642.1,5549.42,3038.77,6305.7,1812.28,1570.57,2137.01,1377.63,17356,7333.03,3966.26,2460.85,5039.93,5257.44,2468.51,6739.7,3090.19,2932.17,3965.23,1764.33,5048.13,876.441,26150.1,5975.36,2733.01,8968.96,1599.94,1935.77,4745.96,3042.04,810.461,1843.02,2607.28,995.744,982.286,898.919,1173.31,385.801,3551.41,786.246,1345.39,396.344,1272.09,335.38,2281.67,2083.89,3501.42,719.322,2284.69,3573.65
3445.03,2700.67,2256.11,2372.33,5191.25,13950.7,16809.2,6713.47,5616.87,1975.95,2029.98,1595.47,867.916,2652.85,21384.1,1025.91,3289.98,2929.47,5550.96,4359.3,1533.27,8040.26,3408.96,3936.89,1979.98,2510.91,4118.67,997.275,22475.3,5205.73,2140.85,9718.99,1984.25,2245.59,3813.32,4024.43,1176.46,1400.04,690.476,935.808,1018.49,1235.68,627.944,274.415,4611.71,1308.02,1020.91,348.891,849.934,487.84,1504.55,2901.71,1944.8,554.41,1316.94,3163.35
2532.04,3928.39,1624.21,1340.73,8305.29,14286.2,15136.3,6873.97,4965.43,2771.11,1984.14,1468.94,889.657,3371.79,23078.4,1736.53,3553.32,3482.11,5721.06,3786.38,3875.21,5225.05,6002.08,3333.99,2738.95,3874.12,2655.28,1614.27,25396.6,1747.39,8075.08,3419.3,1494.34,5852.67,3298.31,4220.55,976.254,1534.54,866.442,1701.69,2120.06,1732.78,1149.05,578.66,3719.41,784.526,1217.78,865.08,844.168,1037.69,1677.46,2842.31,1025.08,2320.87,1120.35,6579.71
4725.04,4472.78,2798.49,2110.62,7315.94,15033.5,15578.1,5387.88,4230.85,3257.77,2687.22,2402.67,448.117,2186.22,17608.9,3994.71,6765.35,4173.74,3251.84,5657.81,4235.71,9612.48,2536.25,2525.96,4430.23,1924.71,4480.92,5344.24,20072.6,1944.32,5673.53,8956.9,2107.79,3487.08,5305.62,2250.91,1129.54,1865.77,1060.98,3006.63,1423.09,1575.61,813.92,1170.25,5377.27,467.41,1552.14,509.26,1052.96,1413.05,2242.07,2768.05,1741.35,2031.99,2955.74,10897.3
2489.31,4803.52,3709.3,3201.11,6678.71,20437.9,12177,2600.56,3903.61,4659.09,1169.87,3145.97,2770.22,1869.01,23247.9,2376.55,5959.34,5425.73,2184.51,4031.39,5027.46,4613.21,5418.52,2731.41,5222.44,2008.48,4308.84,5070.37,16922.4,4516.2,4304.4,8397.83,1824.41,3219.71,4448.16,2087.99,855.232,1279.91,1013.85,1866.88,911.346,608.338,980.607,500.216,5625.73,927.153,1346.62,344.996,407.505,1277.9,2668.06,1375.66,2642.56,2323.5,1840.67,6559.47
