rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013
10740,3332.84,1803.76,3773.62,7558.32,21608.8,8543.18,3775.29,5868.52,4322.63,1154.93,4009.44,4043.4,3240.61,22863.4,2824.29,3658.53,8146.43,2459.64,11073.4,1198.22,3965.49,5024.84,6810.93,2298.47,3073.28,2088.22,2822.4,29747.4,4016.96,5769.43,1845.81,5354.66,8706.5,3272.43,1666.19,1558.91,1553.71,1063.33,2648.45,670.789,1427.51,480.667,1205.2,8099.94,2485.81,1968.83,1013.58,1497.12,1731.03,3904.27,4825.58,6057.72,1040.7,4308.34,2381.46
11334.9,5238.62,2838.78,6206.96,11103.6,16666.8,19172,4760.62,7987.86,1669.85,1140.36,4871.99,4249.09,3432.9,22683.2,2858.27,4927.19,9102.84,4119.83,11301.2,883.001,4394.83,5012.35,8253.84,3685.58,2205.32,2794.43,3029.93,33812.5,5409.58,7027.65,1931.54,4606.78,2971.72,6696.74,1846.77,1857.34,1990.6,1178.62,2271.51,1391.44,1838.18,648.131,1439.66,9065.17,1526.76,2524.3,1017.03,848.271,1144.95,4263.44,6090.63,1973.32,943.057,3008.72,8442.22
7982.85,5789.51,2702.69,2882.07,6416.74,23240.6,14758.9,3518.97,7818.49,1821.52,2370.13,3168.73,5835.22,3179.74,29761.4,2384.93,4197.45,6050.19,2126.26,11810,873.381,4061.4,5765.97,5257.78,2788.73,2805.73,2946.8,3399.66,30750.8,5875.57,4462.22,3551.01,3922.41,5104.27,2025.52,3312.38,2180.22,2657.49,1530.93,1051.2,1466.51,1355.28,2374.31,2455.41,6802.24,1852.26,2581.72,1541.55,936.472,1223.71,4701.67,5390.13,1236.72,1500.53,4955.7,1317.29
9355.3,4359.24,1998.59,4120.62,5892.03,20531.9,13414.8,3626.94,6588.22,1365.71,4681.54,2033.7,1639.57,4645.24,22590.4,4663.85,4316.02,8237.77,1490.23,9034.62,458.575,6292.62,4193.53,4049.88,4383.91,1677.21,2080.04,3389.13,31023.2,4452.33,2200.1,3264.16,8116.58,3160.28,1983.68,2129.31,2524.41,1949.9,1526.69,975.693,715.729,755.532,1467.45,1227.18,5813.28,1481.57,1462.2,1608.89,830.209,1257.95,2491.03,4505.91,4094.36,2218.2,2132.23,2082.39
5964.26,1977.8,2745.85,5033.23,7912.4,19472.6,14408.9,2286.5,6754.64,1751.91,3967.58,3131.32,1938.11,3025.13,22678.7,1890.11,5577.41,4911.38,1229.29,10732.2,472.039,5789.4,6673.21,4202.12,3053.71,1540.28,2217.11,2630.21,30246.5,2626.74,3046.35,3605.05,7572.03,2803.84,2256,2967.69,1604.68,2303.5,1391.44,941.412,832.128,1546.55,2241.34,1537.45,5640.32,2663.94,931.852,1892.66,979.46,2453.99,3641.69,3100.76,7159.64,1623.62,2899.47,5784.12
4124.31,7806.92,2850.53,5131.88,6695.06,20606.1,15418.2,2237.45,6265.15,1550.31,1632.54,4501.97,3747.63,2488.16,17346.7,4214.75,2878.05,7394.83,1394.39,11572.3,607.904,5434.32,6026.14,2291.09,3332.01,1188.23,3429.91,2719.31,32092,3493.54,2560.67,2637.5,6234.21,3135.12,1827.51,2969.31,1000.86,2480.77,2020.24,993.958,836.045,729.667,1324.62,1189.12,4423.99,1924.99,1164.13,1480.51,521.347,1861.67,3034.02,4558.2,6292.17,3084.51,1765.52,6264.56
4167.94,7534.72,3813.66,2957.08,8316.58,31672.6,11904.7,2439.68,5344.49,4438.42,2466.44,3049.01,3252.61,2307.53,28514.5,2125.9,4614.9,7455.22,818.064,14181.6,1078.77,4199.08,10388.9,3013.55,4085.18,1520.23,4697.96,3206.46,37953.8,1988.03,5595.38,2650.22,9130.1,2226.46,2545.83,4146.28,911.273,2555.43,1439.57,1315.42,717.077,1471.16,2028.35,1415.81,8241.18,3433.09,958.45,716.848,1021.41,2971.61,3890.93,5909.98,3826.28,6316.1,2106.35,3583.09
7560.98,4685.71,3576.93,6722.14,5176.44,32462.9,19032.5,1851.86,4832.88,5821.83,1203.86,2429.56,3866.3,2110.48,31646.7,1195.26,5428.7,4911.08,1685.13,21368.2,2271.7,2480.73,7096.8,3704.13,3602.94,3805.55,2504.34,3544.36,31574.9,5993.36,2798.59,4373.74,7310.44,3580.22,2601.61,4274.91,996.395,2995.22,1285.27,2312.15,433.828,1278.48,1647.37,1495.74,7930.31,2598.84,1264.42,926.089,1749.28,1839.63,2375.79,5575.76,5083.83,3544.33,2278.79,8752.27
4387.03,7188.11,3701.5,7240.29,4277.38,26576.8,11933.7,2359.34,6200.75,6352.05,2341.11,4297.11,1508.76,3942.28,20363.7,2284.08,7375.85,3930.09,1702.26,20931.1,3437.2,2474.35,6049.61,4121.91,2854.76,4112.2,2182.65,4396.82,30364.5,4869.62,2468.82,5619.42,4759.57,2877.94,1979.26,4007.03,2441.26,2478.52,1086.13,2436.68,406.968,2799.08,1417.99,1299.14,7025.38,2835.42,1057.48,802.255,1411.45,2244.06,4293.24,1952.31,6369.8,2521.63,3374.75,5874.59
5873.3,3289.87,2804.33,3854.68,3575.81,22432.2,12364.3,3739.58,3027.49,4295.7,2073.11,2204.79,1939.34,3605.59,16876.4,2499.34,4312.01,2148,1784.19,13848.5,806.5,3718.5,2930.94,4863.24,3275.88,1862.42,3987.29,1778.33,22462.3,4543.86,3487.53,1975.22,6027.36,2869.21,3865.6,2034.21,2418.49,789.922,1527.88,2243.12,481.38,1265.01,1025.76,1400.08,4096.42,1927.95,2184.71,944.298,1306.67,2048.08,6177.59,1715.09,4329.93,1299.95,2639.59,2066.99
11968.5,5591.66,3117.72,2500.84,5353.11,20635.1,21175.8,4932.09,8173.07,3364.85,2308.43,1304.82,4075.62,3909.29,26782.1,1941,3005.38,3668.49,1057.75,13950.6,403.84,6239.98,4386.36,5063.65,6193.79,2533.87,2293.14,1470.73,32447.2,2190.62,5274.7,1909.07,6865.37,1930.83,8803.76,1488.6,2485.83,569.369,1227.42,1750.8,746.635,981.607,939.855,1101.3,4105.1,1370.94,914.1,1156.68,1621.77,1796.47,6178.38,961.489,1713.77,894.575,1880.04,5828.04
6300.31,2918.46,4385.36,2222.55,6332.35,17224.4,16841.2,9244.95,7140.56,1460.1,3408.59,2092.35,1917.6,2468.83,24542.7,1718.21,2873.08,2774.82,2268.84,12130.7,345.474,5675.57,5388.46,4527.79,5207.09,2282.18,3495.47,2554.04,23945.2,7836.08,1500.08,2297.67,7404.86,2085.54,7792.29,1837.32,1946.62,605.183,1040.91,2515.16,1017.88,1309.54,995.42,2220.46,8476.55,2823.57,2750.45,3559.83,1246.09,2573.69,8331.81,1512.6,2484.46,4004.29,1798.79,9081.3
6379.36,1959.87,6226.02,2477.59,9374.12,23233.1,8483.73,2952.92,4113.82,4227.97,1286.62,2300.03,1510.53,4911.45,17969.9,3981.51,1853.12,3208.28,1880.87,9536.45,258.273,7682.95,4801.61,3713.63,5881.5,2233.15,4331.74,1983.28,21242.2,6870.45,1146.67,1438.16,3604.06,4148.54,6469.11,2798.65,1353.19,982.96,506.049,2548.1,496.61,959.389,845.3,706.546,4641.84,2133.39,508.566,896.136,670.828,1208.98,3024.94,687.982,1140.67,1360.21,942.855,4736.13
7052.62,3437.62,6260.68,2645.61,5991.45,26800.9,9923.16,2643.33,7487.55,4276.07,1556.33,2295,2425.84,3616.36,22066.9,3233.58,3620.54,8532.22,2325.32,14224,585.9,6033.33,3487.35,5971.66,5053.46,1909.45,4990.43,1933.83,29890.4,8071.89,609.78,2244.45,2937.79,9754.14,3070.46,2843.71,2312.63,1078.03,809.466,2400.88,484.044,965.993,768.571,700.67,6490.36,1776.76,1235.39,813.499,518.803,638.971,4203.42,1815.13,4478.65,1148.63,1972.55,5134.35
3166.69,4607.88,3065.59,2718.85,4434.48,25400.9,9968.12,3439.88,2496.19,3528.35,2344.38,1925.74,2445.95,2572.81,15696.2,4378.44,2416.62,4584.32,2660.46,12309.2,1143.39,4462.14,4460.59,3066.78,4059.53,2706.73,1821.55,1407.55,25447.9,4054.15,893.194,2696.05,2910.62,7129.74,4021.34,3792.47,892.748,855.65,696.795,2322.85,625.729,746.022,467.752,1154.92,4826.55,2084.93,1787.78,720.52,988.337,747.222,3664.18,3063.02,3239.98,1420.93,2540.2,3107.4
3662.51,4362.45,2848.84,2197.26,4815.18,15071.4,12646.3,3968.27,4466.18,1675.25,2600.97,1912.49,1491.91,1744.27,18344.3,4284.6,1748.19,4957.02,945.88,12335.5,1259.11,7104.13,2553.64,2351.41,2310.53,3804.01,2845.96,2263.98,23436.9,6703.69,1268.26,2144.7,3184.23,5615.59,4813.95,992.61,963.264,1244.96,687.68,2353.36,609.645,493.164,562.33,883.074,4004.29,1419.1,1874.24,673.298,831.496,1054.28,4288.1,2435.66,3634.38,2358.87,1355.73,2184.7
3337.39,3434.08,1810.2,2517.73,5752.34,10207.1,12432.8,3867.16,2978.49,3912.76,1830.4,2159.61,2346.18,2439.52,14897,4986.8,3593.83,2218.76,921.535,9676.03,1713.31,4091.72,3941.57,3501.46,2192.79,1559.75,2390.15,2080.55,21924.1,8229.12,2028.88,873.626,4172.81,7703.07,2642.65,1116.92,1214.02,875.112,1307.09,1601.47,261.876,702.268,710.219,1461.16,2460.83,1334.94,1370.06,631.816,390.724,765.583,2569.72,2105.74,3184.17,2308.91,1632.85,4461.35
3424.86,4825.98,2005.65,2295.43,5849.21,17350.9,8287.92,3251.76,2620.06,5023.95,2635.6,1879.72,1683.31,2864.28,12440.5,5734.25,2982.53,4502,1698.38,11452.7,963.867,6484.07,2717.87,2359.51,3126.96,2191.64,2259.67,2714.96,25539.1,3794.16,557.148,3126.47,3598.86,7254.24,2168.21,2626.79,997.859,1384.73,700.664,1812.89,301.554,725.681,1026.11,917.864,2213.99,758.807,985.822,519.176,395.028,1349.78,2015.46,3411.74,1576.04,1962.92,2334.97,7812.74
5145.94,2725.12,2638.33,980.644,4178.62,16381,13899.9,1418.64,2465.78,6114.24,1172.31,1273.98,2621.77,1752.56,22706.9,1092.8,4577.67,3015.76,1386.64,10945.5,1038.33,6652.64,3166.62,2387.38,2922.19,2968.72,1946.47,2417.68,22160.2,10299.8,1128.12,5617.56,3091.55,4812.05,1798.82,2591.47,1251.35,1165.74,1050.1,1966.8,266.267,743.148,772.847,1556.54,2770.65,1063.68,720.879,722.545,450.882,792.593,3510.36,5000.07,2432.36,677.283,3443.1,8929.41
5032.28,2511.11,3564.51,1394.22,7168.21,23922.8,5385.05,1407.16,3496.04,3095.32,1742.03,2829.59,3024.89,1703.16,21931.9,3510.39,1718.4,5072.2,832.977,8542.75,1824.36,10100.2,1979.05,3655.89,3138.61,1656.94,3292.78,3010.06,32439.3,4862.92,1078.93,2921.84,2795.12,5243.16,1674.89,1862.15,819.809,2123.69,1366.48,2839.87,372.977,1297.06,1542.3,1323.21,4314.57,3054.82,1675.77,630.99,1067.38,2396.13,5127.39,4488.52,1800.21,1404.75,4166.99,5871.46
